,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance
st204,23.9,753.45,9.71
st205,40.83,2850.5,1.39
st206,15.16,252.21,3.05
st207,40,2724.39,6.68
st208,47.05,2645.14,1.72
st209,39.47,1869.74,1.51
st210,16.09,247.21,11.63
st211,23.76,560.48,3.02
st212,38.45,2391.33,2.63
st213,16.24,559.23,12.88
st214,40.96,1597.29,4.38
st215,59.86,5133.46,1.35
st216,30.5,2013.13,5.4
st217,52.78,9703.38,1.07
st218,81.03,8580.15,1.43
st219,47.9,2785.23,1.35
st220,51.42,2868.92,2.36
st221,22.93,588.34,4.32
st222,46.82,4113.59,0.34
st223,12.6,281.55,27.3
st224,19.08,359.67,2.38
st225,20.56,505.44,7.45
st226,22.02,1057.39,31.97
st227,42.01,4454.04,1.69
st228,31.98,927.88,2.38
st229,30.71,1891.8,1.51
st230,14.43,230.49,12.88
st231,16.59,385.82,15.91
st232,33.6,1218.18,2.16
st233,28.33,2113.31,4.4
st234,59.43,3968.73,1.72
st235,61.33,5836.2,1.39
st236,39.88,4197.4,3.93
st237,33.18,1456.41,4.4
st238,27.65,1264.69,2.63
st239,32.91,2455.35,3.11
st240,16.98,420.27,41.08
st241,28.61,973.14,8.09
st242,35.07,1899.88,1.72
st243,27.81,932.77,3.63
st244,52.47,4007.84,3.02
st245,24.1,2061.91,1.07
st246,18.1,347.04,6.72
st247,13.66,176.71,1.39
st248,36.22,1980.95,6.51
st249,35.3,2518.58,4.17
st250,52.19,5493.13,0.34
st251,30.05,2259.43,2.63
st252,33.72,2184.15,1.91
st253,53.69,5202.71,1.07
st254,22.02,453.48,4.68
st255,14.23,276.77,1.35
st256,24.88,683.4,3.63
st257,24.44,1806.18,1.43
st258,68.47,12764.92,1.22
st259,35.33,1217.04,11.01
st260,30.59,1189.98,5.72
st261,12.97,372.86,2.72
st262,29.68,2068.85,4.17
st263,33.18,2008.36,3.44
st264,52.46,2872.67,2.38
st265,20.64,639.96,1.35
st266,54.06,5653.01,1.43
st267,62,6089.66,1.22
st268,58.99,4053.67,1.43
st269,33.83,1484.72,2.63
st270,38.18,2094.78,3.93
st271,28.18,863.4,11.47
st272,16.91,307.59,5.4
st273,22.82,518.07,2.38
st274,61.49,5683.48,1.51
st275,44.64,2061.57,1.01
st276,68.38,7411.88,1.43
st277,31.38,1116.64,12.01
st278,48.61,2836.97,0.34
st279,38.35,1948.09,1.51
st280,52.68,4045.94,1.51
st281,20.95,583.9,9.47
st282,41.28,3866.39,2.72
st283,17.51,473.49,2.38
st284,22.42,547.86,31.02
st285,28.16,1876.45,0.34
st286,14.23,175.23,3.37
st287,82.98,6416.01,1.91
st288,26.03,667.59,12.35
st289,49.53,2809.9,1.69
st290,29.87,1148.48,1.39
st291,34.82,1611.51,2.13
st292,23.28,2497.08,6.08
st293,48.72,3684.11,1.97
st294,44.35,3600.3,1.39
st295,28.36,896.38,2.05
st296,19.6,679.76,1.43
st297,18.1,424.48,23.13
st298,28.72,2001.19,1.69
st299,74.04,14418.16,1.69
st300,34.39,1421.84,1.01
st301,23.68,706.48,11.41
st302,68.36,5255.48,1.22
st303,43.3,2422.95,0.34
st304,16.3,400.83,2.16
st305,22.02,1635.5,8.34
st306,10.47,236.06,16.22
st307,22.9,480.88,5.74
st308,20.12,684.54,1.91
st309,27.92,771.19,1.82
st310,59.23,4679.87,1.22
st311,49.78,4176.82,3.47
st312,14.31,277.23,5.33
st313,11.54,214.46,5.74
st314,43.84,3438.27,3.03
st315,29.41,1320.63,3.32
st316,14.84,361.83,11.23
st317,40.42,5001.9,2.38
st318,31.95,1170.42,5.33
st319,13.9,224.01,9.78
st320,73.47,5599.56,2.57
st321,51.62,3644.65,3.95
st322,14.79,289.17,2.72
st323,50.99,3143.98,0.95
st324,18.16,633.71,2.72
st325,43.35,2043.95,3.05
st326,37.04,2690.96,2.02
st327,19.64,397.65,3.95
st328,22.9,565.94,1.01
st329,46.77,3657.39,0.34
st330,16.59,530.35,0.34
st331,70.52,8248.79,1.39
st332,46.5,2213.49,7.29
st333,63.13,5617.08,1.72
st334,46.82,2174.94,2.57
st335,25.68,1800.49,13.9
st336,27.65,1225.57,2.02
st337,14.73,832.93,2.86
st338,20.95,472.58,8.15
st339,58.19,4081.3,2.78
st340,8.2,340.34,0.34
st341,43.51,2563.83,1.51
st342,66.15,7898.79,1.91
st343,37.17,1968.79,1.97
st344,45.55,2211.22,0.95
st345,36.37,1649.94,5.8
st346,17.17,450.18,7.87
st347,15.51,388.32,0.34
st348,65.84,6756.68,1.51
st349,58.62,10075.1,1.72
st350,12.16,372.97,21.61
st351,49.79,7597.91,0.95
st352,25.53,651.11,9.2
st353,9.66,238.45,0.34
st354,26.93,793.81,7.87
st355,8.09,171.59,0.34
st356,67.26,6799.1,0.95
st357,11.47,185.12,2.86
st358,54.56,4080.62,1.39
st359,22.66,507.72,8.21
st360,27.11,1064.79,5.16
st361,22.09,1155.07,2.26
st362,34.4,1993.23,1.91
st363,19.64,769.82,4.38
st364,45.78,2518.58,2.63
st365,24.73,952.67,0.34
st366,16.21,270.86,1.82
st367,40.67,3225.17,1.82
st368,15.26,253.12,2.26
st369,53.4,3581.43,4.07
st370,56.91,4974.16,1.91
st371,60.99,4051.96,1.51
st372,21.94,532.73,8.43
st373,15.38,333.17,8.83
st374,45.86,1960.83,9.5
st375,24.32,605.85,8.04
st376,24.21,685.45,12.48
st377,51.89,3384.71,1.35
st378,59.35,4374.67,2.38
st379,30.14,959.49,3.02
st380,16.59,446.66,0.34
st381,18.52,437.67,18.82
st382,35.07,1215.45,1.01
st383,27.86,691.59,6.72
st384,20.23,408.22,11.63
st385,62.56,3271.45,1.72
st386,61.19,10660.82,1.07
st387,16.86,299.17,7.11
st388,41.99,1991.64,1.91
st389,22.62,537.85,3.03
st390,28.36,813.49,10.98
st391,46.71,2900.3,2.02
st392,50.07,4368.31,0.67
st393,44.95,2872.33,3.93
st394,51.33,5892.71,1.51
st395,19.29,385.48,4.06
st396,73.51,6194.95,1.91
st397,11.12,222.65,4.72
st398,17.86,363.65,9.66
st399,36.47,1766.95,3.2
st400,22.9,1722.37,12.72
st401,18.41,420.5,13.49
st402,51.53,3202.43,1.07
st403,33.07,1287.54,6.72
st404,24.07,763.79,1.01
st405,21.72,462.01,12.37
st406,36.44,1960.14,1.72
st407,18.16,447.11,6.74
st408,16.59,626.89,3.77
st409,32.37,1546.24,2.63
st410,23.84,593.46,10.59
st411,47.23,5121.64,0.95
st412,29.81,1520.54,9.41
st413,19.08,850.67,4.23
st414,23.56,1239.79,0.67
st415,43.42,2161.64,2.57
st416,27.05,800.07,11.8
st417,13.03,312.59,2.57
st418,26.19,716.26,4.83
st419,58.67,3915.62,5.89
st420,17.65,711.94,3.03
st421,20.24,704.66,1.07
st422,38.58,2538.48,1.39
st423,16.91,447.22,3.93
st424,19.7,502.71,11.92
st425,49.18,2922.82,4.72
st426,23.28,557.86,7.45
st427,35.71,1263.21,1.07
st428,26.34,1885.21,1.51
st429,78.76,5847.23,1.35
st430,49.6,5435.93,1.39
st431,26.95,1490.86,6.92
st432,23.6,1637.77,9.41
st433,33.83,1801.29,3.84
st434,44.9,2139.92,7.69
st435,21.72,541.72,14.38
st436,36.65,2448.42,2.02
st437,19.46,446.77,10.11
st438,36.02,1393.52,3.02
st439,19.45,1152.57,1.72
st440,79.9,13977.08,1.22
st441,39.33,2418.4,5.33
st442,11.16,235.49,6.44
st443,8.79,336.81,24.08
st444,48.28,3548.91,3.32
st445,21.43,415.16,6.92
st446,14.29,203.31,16.93
st447,23.56,500.55,14.09
st448,50.68,7775.42,1.07
st449,17.19,282.12,14.81
st450,23.83,1566.48,0.34
st451,17.34,522.05,13.59
st452,16.03,823.15,0.34
st453,19,382.41,7.4
st454,20.98,538.99,6.94
st455,16.42,243.11,14.81
st456,33.73,1428.77,2.45
st457,23.92,632.8,19.17
st458,49.64,5604.23,2.02
st459,15.99,219.46,7.08
st460,60.09,3977.82,1.22
st461,16.68,438.92,6.07
st462,14.73,247.66,0.95
st463,13.25,263.69,4.17
st464,13.64,578.22,14.09
st465,14.53,336.36,5.58
st466,63.52,9978.33,1.97
st467,57.73,5129.26,2.57
st468,12.67,375.7,0.34
st469,11.93,348.52,20.98
st470,18.21,536.03,19.13
st471,34.93,1744.66,17.98
st472,19.6,810.76,18.71
st473,34.4,1311.2,1.22
st474,17.53,370.81,0.34
st475,27.19,976.32,2.38
st476,62.69,5546.01,1.97
st477,16.19,444.27,11.47
st478,22.09,508.17,11.47
st479,9.96,241.86,1.97
st480,24.1,519.43,9.06
st481,34.69,2207.69,4.05
st482,30.5,1244.79,4.05
st483,21.55,479.4,1.97
st484,14.08,485.09,18.96
st485,15.64,381.95,22.26
st486,45.65,4436.87,2.63
st487,78.69,15803.5,1.22
st488,12.8,193.76,9.3
st489,15.8,419.82,14.48
st490,15.38,437.67,3.11
st491,81.21,12410.71,1.72
st492,22.82,1005.77,1.72
st493,29.87,1343.38,21.88
st494,39.12,1949.8,1.07
st495,27.45,646.67,9.3
st496,15.53,407.54,12.82
st497,24.15,509.08,22.26
st498,59.91,8823.03,1.22
st499,71.42,4643.37,13.16
st500,11.47,298.6,2.7
st501,15.39,567.42,6.34
st502,22.27,605.74,1.43
st503,16.03,357.85,0.34
st504,10.12,272.22,8.11
st505,15.53,245.96,3.02
st506,29.12,968.25,8.29
st507,17.19,712.28,6.95
st508,28.11,896.95,1.43
st509,71.91,11373.33,1.07
st510,31.37,1521.79,4.06
st511,35.39,1329.05,4.86
st512,27.95,957.67,7.79
st513,46.27,2164.48,6.95
st514,13.84,423.12,7.79
st515,40.83,6080.67,1.01
st516,44.66,2817.41,2.43
st517,11.8,283.94,1.91
st518,36.9,1946.27,8.77
st519,16.21,323.73,4.86
st520,38.98,1921.6,1.01
st521,30.54,937.2,6.94
st522,13.66,226.74,5.33
st523,58.64,4867.95,1.97
st524,72.69,15694.33,1.69
st525,62.14,4367.17,0.34
st526,65.13,4994.74,1.69
st527,16.24,301.79,6.94
st528,42.21,2953.97,7.87
st529,12.97,254.48,16.86
st530,34.47,1686.9,18.9
st531,39.58,1812.77,3.32
st532,13.49,793.7,22.8
st533,74.5,5464.82,1.39
st534,39.88,1557.27,1.43
st535,48.45,2931.8,3.58
st536,12.54,305.09,8.77
st537,19.66,350.91,6.95
st538,40.58,4372.51,1.69
st539,48.19,3240.3,5.01
st540,25.25,1114.25,3.58
st541,47.9,3391.3,1.69
st542,13.35,266.88,8.58
st543,17.81,732.64,3.02
st544,19.56,763.23,1.69
st545,15.38,369.67,1.69
st546,52.52,3790.43,1.82
st547,14.79,518.52,2.05
st548,61.9,23910.04,1.01
st549,64.02,6744.97,1.69
st550,30.05,1128.69,1.69
st551,12.54,292.24,2.05
st552,37.24,2962.96,2.16
st553,34.69,1643.57,8.83
st554,30.77,2112.63,2.45
st555,57.24,3772.8,1.43
st556,41.55,2237.48,5.01
st557,41.38,2058.5,2.78
st558,49.75,3008.55,2.36
st559,18.65,429.83,8.77
st560,48.56,6768.05,1.69
st561,41.75,2182.79,9.26
st562,47.73,5490.17,6.74
st563,12.6,206.27,8.83
st564,56.92,3252.69,2.13
