,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance
st19547,39.21,3836.94,4.59
st19548,13.3,364.78,5.23
st19549,25.45,2294.79,3.84
st19550,17.65,328.28,4.38
st19551,31.78,1473.35,1.39
st19552,31.95,3275.77,1.39
st19553,42.83,4098.58,0.95
st19554,16.41,371.38,5.73
st19555,41.55,2380.3,5.15
st19556,24.96,913.1,3.11
st19557,44.53,2520.96,4.12
st19558,32.4,2138.21,1.69
st19559,14.84,429.14,1.01
st19560,50.56,3136.14,3.34
st19561,17.92,521.02,4.38
st19562,22.9,2105.69,0.95
st19563,31.7,2521.99,1.35
st19564,45.08,2987.29,1.69
st19565,25.34,2125.93,1.07
st19566,26.52,1930.24,0.95
st19567,26.58,937.88,4.05
st19568,53.83,3165.59,3.52
st19569,12.01,344.43,0.75
st19570,29.86,3276,1.43
st19571,41.93,2406.57,5.4
st19572,44.58,2919.86,2.16
st19573,21.3,832.93,0.34
st19574,22.09,661.57,4.44
st19575,25.77,1215.34,3.18
st19576,22.93,650.31,4.38
st19577,39.33,2371.09,0.34
st19578,58.06,3487.62,4.12
st19579,38.12,2401.34,5.41
st19580,36.57,1809.25,3.32
st19581,15.38,437.9,8.58
st19582,36.57,2184.04,0.95
st19583,35.1,1625.72,2.38
st19584,34.68,1859.85,2.36
st19585,10.27,191.6,5.44
st19586,47.52,4541.03,2.38
st19587,16.09,604.37,0.34
st19588,42.83,4931.29,6.41
st19589,44.09,4603.12,1.69
st19590,16.19,526.93,3.71
st19591,15.73,392.53,5.44
st19592,18.16,495.32,4.77
st19593,15.26,285.41,1.82
st19594,38.5,2579.87,4.54
st19595,24.73,1472.44,0.34
st19596,39.93,1698.38,1.69
st19597,22.27,681.92,0.34
st19598,30.23,1350.31,1.97
st19599,36.32,2673.45,2.38
st19600,15.74,534.33,3.03
st19601,32.17,2672.88,1.39
st19602,16.19,650.88,0.34
st19603,29.95,2839.13,1.51
st19604,34.72,2189.61,0.34
st19605,27.13,747.31,2.43
st19606,38.45,2198.03,0.34
st19607,20.92,957.9,2.38
st19608,17.19,538.19,2.43
st19609,25.39,675.1,2.43
st19610,24.61,1941.38,2.72
st19611,43.04,2610.91,0.34
st19612,29.87,2783.41,1.69
st19613,24.55,804.84,3.37
st19614,29.58,1463.23,0.34
st19615,32.63,1391.02,2.13
st19616,29.87,898.65,3.37
st19617,24.7,911.39,4.77
st19618,26.85,6345.05,2.72
st19619,14.08,282.8,3.37
st19620,39.12,3678.42,1.51
st19621,24.87,608.47,4.27
st19622,16.9,485.66,10.14
st19623,18.56,432.9,1.69
st19624,20.23,708.76,0.34
st19625,29.19,2474.57,2.13
st19626,16.9,430.96,11.21
st19627,14.08,303.72,0.34
st19628,14.79,271.31,0.34
st19629,14.79,281.32,3.32
st19630,20.78,1574.66,2.72
st19631,16.7,610.97,3.11
st19632,24.33,589.02,4.05
st19633,12.6,207.18,3.52
st19634,28.37,2418.85,1.51
st19635,15.69,464.96,11.05
st19636,24.73,1478.92,2.72
st19637,27.45,2422.04,0.34
st19638,25.28,2400.54,1.69
st19639,31.47,1145.52,2.78
st19640,18.42,659.41,0.34
st19641,19.84,1235.24,3.82
st19642,19.31,620.97,3.52
st19643,15.74,420.39,2.13
st19644,28.31,783.69,3.11
st19645,27.73,2746.34,1.69
st19646,16.7,493.73,0.34
st19647,22.42,522.5,3.32
st19648,30.54,1135.29,0.34
st19649,22.93,931.86,3.11
st19650,25.59,1297.67,3.37
st19651,15.57,751.85,0.34
st19652,29.63,1094.35,1.69
st19653,34.93,2458.99,7.43
st19654,13.84,285.75,3.82
st19655,15.38,419.14,3.32
st19656,13.57,225.03,0.34
st19657,25.81,1803.45,4.07
st19658,17.19,312.02,3.2
st19659,11.78,227.42,0.34
st19660,8.87,249.25,3.05
st19661,21.17,983.6,2.57
st19662,19.04,1531.45,3.03
st19663,19.18,399.24,3.52
st19664,13.09,542.85,0.34
st19665,18.6,747.99,4.54
st19666,26.68,2409.53,0.34
st19667,22.02,1429,3.11
st19668,26.34,1416.83,3.11
st19669,38.73,1750.01,2.26
st19670,21.75,573.9,3.11
st19671,24.95,1260.14,5.25
st19672,26.77,1183.04,1.69
st19673,12.4,220.48,1.39
st19674,16.66,300.42,3.82
st19675,22.12,655.66,3.05
st19676,27.46,4932.99,2.02
st19677,19.85,1109.02,1.82
st19678,33.72,2657.64,0.34
st19679,19.66,774.71,1.69
st19680,25.64,604.6,8.58
st19681,15.92,311,3.32
st19682,27.19,682.95,4.17
st19683,25.09,1648.58,1.69
st19684,12.88,323.51,0.34
st19685,47.93,4490.77,0.34
st19686,10.03,224.92,0.34
st19687,19.17,625.41,1.22
st19688,22.33,705.23,2.38
st19689,23.05,542.85,2.26
st19690,14.79,362.85,2.16
st19691,20.63,973.14,3.44
st19692,32.88,3301.7,2.02
st19693,32.06,2935.67,1.35
st19694,21.72,504.42,2.38
st19695,58.19,5972.31,0.34
st19696,21.11,921.28,3.03
st19697,24.55,799.73,1.82
st19698,58.71,3621.8,1.69
st19699,25.04,721.04,2.88
st19700,23.41,755.38,8.85
st19701,33.6,3886.17,0.34
st19702,13.25,413.22,1.39
st19703,48.28,4191.49,2.26
st19704,19.17,484.75,3.02
st19705,26.3,828.61,2.57
st19706,25.53,790.97,0.75
st19707,48.17,2167.55,0.75
st19708,29.09,1592.97,2.57
st19709,19.09,589.48,8.9
st19710,45.64,15133.51,0.34
st19711,24.87,914.8,2.7
st19712,24.61,1856.33,1.69
st19713,27.01,969.84,5.06
st19714,15.99,599.71,0.34
st19715,11.48,215.03,0.34
st19716,29.44,1061.83,8.44
st19717,29.5,2228.16,3.44
st19718,38.44,1527.93,2.02
st19719,23.61,810.87,2.02
st19720,35.23,9328.93,2.26
st19721,41.01,2328.79,3.63
st19722,15.74,288.6,1.97
st19723,31.29,949.48,2.9
st19724,14.43,224.69,2.16
st19725,30.16,1002.25,5.06
st19726,31.7,1406.26,1.69
st19727,37.97,1619.47,1.01
st19728,25.04,596.98,2.7
st19729,59,4660.66,1.69
st19730,32.37,1274.7,4.05
st19731,40.52,4055.37,2.16
st19732,18.1,462.8,0.34
st19733,27.95,1563.75,3.03
st19734,31.99,1789.35,1.51
st19735,29.26,935.61,2.26
st19736,26.5,1633.68,1.72
st19737,46.45,3489.44,2.36
st19738,24.21,771.87,6.88
st19739,67.86,14948.85,3.77
st19740,27.75,800.41,2.9
st19741,16.66,272.56,10.11
st19742,18.21,780.74,0.34
st19743,18.79,652.59,0.34
st19744,17.74,400.83,0.34
st19745,27.45,799.61,6.3
st19746,17.23,532.51,5.01
st19747,15.51,400.72,0.34
st19748,35.59,6871.87,0.67
st19749,23.07,927.54,1.07
st19750,42.6,2716.09,0.34
st19751,29.77,3117.72,0.34
st19752,30.56,1376.47,9.78
st19753,44.79,3008.78,2.05
st19754,18.75,1153.37,2.45
st19755,31,5118.57,0.34
st19756,32.27,1343.15,3.34
st19757,28.58,3470.79,0.34
st19758,26.98,833.95,2.26
st19759,20.23,1195.44,0.34
st19760,46.58,2918.5,0.34
st19761,45.98,3040.85,1.35
st19762,19.09,1019.42,0.34
st19763,17.34,412.2,5.73
st19764,38.04,2117.06,1.91
st19765,23.83,1327.57,1.91
st19766,24.96,1281.18,2.26
st19767,31.75,2212.47,0.75
st19768,15.16,228.79,18.55
st19769,47.44,2674.93,1.39
st19770,13.3,191.6,16.89
st19771,25.39,1612.76,4.06
st19772,35.07,1795.83,0.34
st19773,27.39,1833.13,0.34
st19774,23.28,1160.08,2.7
st19775,27.46,997.7,0.34
st19776,34.13,2273.42,0.34
st19777,30.05,2013.13,2.63
st19778,39.47,2622.62,0.34
st19779,20.59,743.21,2.16
st19780,21.72,527.5,6.65
st19781,20.23,893.99,2.13
st19782,33.21,2531.77,1.69
st19783,19.66,407.77,17.13
st19784,26.72,2074.08,0.34
st19785,55.67,3881.4,2.88
st19786,47.33,6997.75,0.34
st19787,51.54,8563.54,1.82
st19788,57.71,3062.57,1.69
st19789,36.57,1670.29,2.7
st19790,23.05,2171.76,13.43
st19791,16.41,438.01,15.15
st19792,32.78,3381.87,0.34
st19793,30.54,1222.39,3.47
st19794,13.64,249.82,3.11
st19795,33.05,1344.86,0.34
st19796,25.63,1016,0.34
st19797,19.56,574.47,0.34
st19798,17.53,701.48,0.34
st19799,20.03,986.89,0.34
st19800,15.92,318.05,1.35
st19801,17.53,593,0.34
st19802,13.49,210.02,0.34
st19803,10.66,180.91,0.34
st19804,47.56,2191.09,1.69
st19805,51.83,5321.66,0.34
st19806,39.24,1596.27,0.34
st19807,18.41,665.32,0.34
st19808,16.31,405.15,0.34
st19809,10.79,235.27,0.34
st19810,33.18,1282.31,3.02
st19811,20.05,1145.63,0.34
st19812,16.46,392.98,0.34
st19813,20.23,450.64,2.26
st19814,17.51,626.89,0.34
st19815,32.38,1287.32,1.91
st19816,8.09,193.76,0.34
st19817,17.02,449.95,2.72
st19818,36.42,1501.21,2.7
st19819,22.61,670.21,0.34
st19820,36.72,1645.85,0.34
st19821,43.44,2646.61,0.34
st19822,18.21,377.29,2.88
st19823,21.58,1023.96,0.34
st19824,12.44,326.58,0.34
st19825,13.9,727.29,0.34
st19826,39.03,1616.4,1.97
st19827,28.33,823.95,0.34
st19828,43.13,1759.44,1.91
st19829,30.95,1423.77,2.02
st19830,37.09,1743.3,0.34
st19831,26.24,1113.8,0.34
st19832,43.4,1699.97,2.43
st19833,32.27,1930.35,2.05
st19834,14.53,442.45,0.34
st19835,41.56,1861.9,1.97
st19836,36.8,1577.39,3.18
st19837,16.75,453.82,2.57
st19838,16.3,443.58,0.34
st19839,24.37,1009.86,1.82
st19840,21.58,1077.98,0.34
st19841,27.52,1131.99,2.36
st19842,35.34,1771.38,3.32
st19843,33.78,1544.42,0.34
st19844,30.47,1298.01,1.69
st19845,31.02,1124.6,0.34
st19846,34.76,1204.76,2.16
st19847,47.12,3480.11,2.45
st19848,25.28,837.48,0.34
st19849,20.21,794.27,2.43
st19850,42.23,2052.7,2.57
st19851,37.57,2198.82,3.02
st19852,9.96,282.23,2.13
st19853,37.92,2972.05,0.34
st19854,11.52,213.78,2.02
st19855,19.92,603.92,2.7
st19856,33.78,1992.21,2.05
st19857,17.5,515.56,2.38
st19858,31.18,1517.81,2.57
st19859,32.85,1077.29,1.97
st19860,14.34,280.75,0.34
st19861,22.26,602.78,1.69
st19862,21,1091.51,0.34
st19863,49.69,3010.03,0.34
st19864,53.16,5202.6,0.34
st19865,18.74,406.86,5.14
st19866,29.87,1298.01,2.05
st19867,29.74,1127.1,3.37
st19868,22.42,896.95,3.84
st19869,12.88,225.72,0.34
st19870,45.78,2481.05,2.26
st19871,31.95,1828.92,1.91
st19872,36.5,2424.31,2.38
st19873,21.47,513.97,2.05
st19874,24.87,651.56,3.18
st19875,21.84,684.08,10.73
st19876,30.14,1485.17,3.37
st19877,41.27,3218.35,1.72
st19878,17.07,444.38,0.34
st19879,37.1,1251.5,1.91
st19880,22.75,1027.72,0.34
st19881,17.5,385.71,2.26
st19882,16.31,673.39,0.34
st19883,17.51,487.59,4.68
st19884,23.26,684.65,0.34
st19885,21.55,775.05,3.18
st19886,29.63,889.1,9.5
st19887,19.97,494.19,2.72
st19888,32.55,1328.03,1.43
st19889,19.92,419.93,7.84
st19890,35.07,1901.01,1.69
st19891,47.14,4112.68,1.97
st19892,12.83,356.82,3.39
st19893,51.47,11413.25,1.91
st19894,39.52,2930.78,3.2
st19895,28.81,1254.8,0.34
st19896,9.47,176.93,0.34
st19897,47.21,6952.38,0.34
st19898,14.84,350.68,0.34
st19899,44.52,2892.91,0.34
st19900,19.6,592.2,0.34
st19901,12.97,398.1,0.34
st19902,27.68,1808,0.34
st19903,31.14,1987.55,0.34
st19904,31.7,1002.36,0.95
st19905,22.97,899.56,7.04
st19906,21.47,723.54,3.71
st19907,34.72,1465.96,0.95
st19908,30.14,3011.62,0.34
st19909,30.35,869.66,0.34
st19910,11.64,271.54,0.34
st19911,14.84,763.68,0.34
st19912,35.34,2569.52,2.86
st19913,27.68,1117.21,0.34
st19914,34.15,2138.55,4.23
st19915,19.09,454.16,0.34
st19916,34.97,1844.84,0.34
st19917,36.87,1988.57,0.34
st19918,23.84,1126.08,1.51
st19919,24.44,824.4,0.34
st19920,45.24,10307.86,0.34
st19921,50.85,3582.22,4.07
st19922,15.57,627.11,1.51
st19923,48.63,3672.62,0.34
st19924,45.86,1886.12,0.34
st19925,44.19,2890.41,3.32
st19926,37.6,1872.47,2.02
st19927,22.45,753.79,0.34
st19928,10.87,183.07,0.34
st19929,35.3,1211.36,2.72
st19930,22.61,692.5,1.51
st19931,46.5,4279.38,1.51
st19932,50.07,4518.86,1.72
st19933,38.25,2728.03,2.86
st19934,35.67,1789.01,3.37
st19935,21.33,916.51,0.34
st19936,51.18,5061.94,2.02
st19937,42.27,1893.51,1.82
st19938,60.16,8265.39,0.34
st19939,42.47,3011.51,7.15
st19940,45.87,3754.38,1.69
st19941,31.95,1321.89,3.84
st19942,47.41,2192.91,1.82
st19943,21.72,545.01,3.65
st19944,19.09,725.02,0.34
st19945,45.94,3654.32,2.16
st19946,12.6,229.81,5.01
st19947,34.39,3194.24,0.34
st19948,10.66,279.84,2.72
st19949,33.38,1266.28,6.19
st19950,33.83,1632.66,3.95
st19951,36.07,2276.71,2.57
st19952,49.18,3065.75,2.36
st19953,27.13,658.16,2.16
st19954,52.53,5503.14,6.19
st19955,45.19,2469.68,2.13
st19956,38.84,3164.34,6.03
st19957,36.26,2597.83,1.72
st19958,62.11,7835.57,1.69
st19959,39.81,2332.66,1.72
st19960,47.14,2875.06,8.12
st19961,17.7,539.22,0.34
st19962,17.86,438.24,3.39
st19963,37.25,2120.25,7.02
st19964,49.24,4133.27,2.36
st19965,36.5,1840.18,0.34
st19966,27.77,975.52,3.02
st19967,11.64,237.43,2.16
st19968,35.36,2100.12,2.02
st19969,19.1,463.83,0.34
st19970,36.32,2885.29,2.13
st19971,40.54,5214.77,1.07
st19972,42.59,3458.62,1.39
st19973,50.13,3690.93,2.43
st19974,48,4305.65,0.34
st19975,26.71,1282.66,5.23
st19976,38.84,3213.8,3.58
st19977,35.67,1254,2.45
st19978,26.86,2181.76,1.97
st19979,35.39,1447.88,1.69
st19980,19.66,786.19,2.88
st19981,47.66,2106.49,1.07
st19982,61.04,11125.1,0.95
st19983,43.94,2278.31,2.26
st19984,37.1,1620.6,4.68
st19985,33.18,1451.4,5.53
st19986,23.95,680.67,2.72
st19987,17.19,330.56,7.11
st19988,24.55,658.61,5.16
st19989,43.88,3312.39,4.68
st19990,43.44,3535.38,2.86
st19991,43.09,3245.19,1.39
st19992,44.76,2039.63,3.77
st19993,36.72,1438.78,9.5
st19994,43.8,2616.59,1.22
st19995,18.22,581.86,0.34
st19996,36.42,1873.5,0.34
st19997,11.95,380.82,0.34
st19998,12.81,410.5,0.34
st19999,28.18,1120.73,0.34
st20000,18.15,354.89,12.16
st20001,24.02,998.38,0.34
st20002,30.2,2753.73,0.34
st20003,14.97,219.12,12.16
st20004,24.8,941.41,3.58
st20005,29.67,2120.59,0.34
st20006,14.43,355.23,2.16
st20007,15.69,296.67,11.47
st20008,31.58,1127.33,2.13
st20009,24.7,774.37,3.77
st20010,28.72,1885.44,3.93
st20011,47.44,2227.7,2.43
st20012,13.9,207.29,9.92
st20013,31.7,947.55,2.13
st20014,57.61,3120.22,2.43
st20015,16.91,347.16,9.44
st20016,21.77,1167.01,3.93
st20017,33.89,2235.44,0.34
st20018,28.37,1644.94,6.74
st20019,47.52,4992.24,2.63
st20020,19.18,727.63,0.34
st20021,53.01,2849.25,2.63
st20022,28.4,1275.04,1.35
st20023,21.75,877.05,1.35
st20024,66.75,5619.69,1.82
st20025,31.35,1189.19,3.2
st20026,42.87,3080.99,4.17
st20027,24.44,980.3,3.58
st20028,51.02,2540.41,2.13
st20029,67.39,6011.08,1.82
st20030,91.83,9439.91,2.78
st20031,72.89,6839.12,3.34
st20032,47.21,2812.29,2.16
st20033,16.31,451.89,5.06
st20034,14.18,272.11,13.83
st20035,11.22,195.24,10.45
st20036,38.61,1277.99,3.34
st20037,17.53,359.55,23.49
st20038,17.02,687.15,10.41
st20039,22.46,562.98,7.54
st20040,15.69,444.15,1.35
st20041,18.12,421.87,8.6
st20042,39.61,2528.81,7.54
st20043,10.56,180.69,0.34
st20044,24.73,653.61,4.23
st20045,23.38,2325.27,2.88
st20046,23.56,535.58,6.63
st20047,51.21,5488.36,2.13
st20048,56.75,9514.28,2.43
st20049,28.83,804.5,1.97
st20050,13.25,198.2,23.72
st20051,18.88,445.86,0.34
st20052,53.95,9387.38,0.34
st20053,24.07,647.92,11.69
st20054,44.09,4261.99,2.13
st20055,17.53,710.46,0.34
st20056,18.9,387.87,10.01
st20057,14.23,212.41,11.69
st20058,50.13,2427.83,2.43
st20059,51.06,6851.86,2.63
st20060,9.44,196.38,0.34
st20061,12.4,420.73,14.93
st20062,17.19,355.57,17.53
st20063,16.21,311.91,16.02
st20064,12.14,209.68,7.84
st20065,18.56,392.19,4.68
st20066,62.49,6966.59,0.34
st20067,41.14,3195.04,0.34
st20068,37.2,3814.76,1.51
st20069,12.81,422.21,0.34
st20070,21.96,537.4,4.68
st20071,22.25,698.52,10.56
st20072,27.65,1329.62,0.34
st20073,51.3,5899.87,0.34
st20074,24.1,667.25,0.34
st20075,15.99,348.18,8.34
st20076,62.76,4238.79,6.07
st20077,29.67,2012.34,3.37
st20078,14.16,877.16,0.34
st20079,21.51,533.3,10.56
st20080,11.54,201.38,45.71
st20081,51.1,4295.99,0.34
st20082,16.3,286.1,5.65
st20083,22.18,751.74,0.67
st20084,54.37,8982.45,1.39
st20085,60.63,7159.79,7.46
st20086,25.28,741.28,11.95
st20087,59.99,11428.03,1.97
st20088,11.47,307.25,9.73
st20089,57.62,4926.28,2.57
st20090,23.21,1062.28,1.39
st20091,56.62,4993.37,0.34
st20092,17.23,291.78,3.11
st20093,8.12,205.25,1.97
st20094,54.56,3625.09,1.91
st20095,28.31,495.55,4.07
st20096,54.96,2129.46,3.47
st20097,46.2,1638.68,14.31
st20098,43.88,3372.88,7.94
st20099,115.24,10237.25,6.2
st20100,52.21,1732.15,0.34
st20101,28.45,539.1,3.63
st20102,55.06,1379.65,4.23
st20103,59.23,8254.93,2.78
st20104,59.54,3656.48,3.32
st20105,72.84,3760.3,3.32
st20106,52.38,1373.85,6.74
st20107,52.52,3598.37,4.38
st20108,53,7231.2,2.26
st20109,28.37,1153.82,2.86
st20110,29.93,1123.46,5.14
st20111,33.78,572.19,5.14
st20112,42.75,1037.27,6.92
st20113,26.19,302.13,5.16
st20114,29.12,894.11,3.93
st20115,24.32,351.59,3.93
st20116,45.43,3383.34,4.1
st20117,40.58,1657.56,6.74
st20118,31.07,2159.59,0.34
st20119,18.93,454.27,2.38
st20120,18.21,1156.1,9.83
st20121,31.78,3235.18,6.55
st20122,56.04,4429.82,3.63
st20123,42.49,3441.91,0.34
st20124,50.67,3672.74,2.88
st20125,45.88,2457.63,4.29
st20126,47.23,4726.61,4.23
st20127,37.92,1915.34,2.57
st20128,14.59,323.62,4.86
st20129,24.95,710.69,0.34
st20130,49.34,2807.51,2.78
st20131,12.72,439.95,0.34
st20132,24.21,752.54,3.93
st20133,13.9,309.52,2.38
st20134,56.1,8696.24,3.52
st20135,61.9,4930.26,0.34
st20136,32.04,1286.07,6.92
st20137,26.98,705.8,7.94
st20138,41.8,1921.6,0.34
st20139,22.97,611.76,5.14
st20140,21.08,470.19,14.31
st20141,30.35,1814.02,0.34
st20142,30.95,981.89,6.08
st20143,31.81,1512.58,1.01
st20144,36.15,1659.95,4.77
st20145,52.67,3713.22,3.32
st20146,20.39,643.03,16.31
st20147,28.33,776.53,7.63
st20148,45.24,3189.7,4.1
st20149,27.66,2072.49,6.2
st20150,21.88,525.46,2.26
st20151,37.09,1494.95,3.39
st20152,27.09,1510.19,1.22
st20153,12.88,262.1,16.31
st20154,59.93,6203.48,0.34
st20155,69.09,4196.38,4.86
st20156,16.09,439.83,25.24
st20157,25.2,2095.23,0.67
st20158,12.16,191.94,2.26
st20159,42.1,3698.89,2.26
st20160,30.77,958.01,8.34
st20161,30.76,1120.28,4.77
st20162,20.92,1219.77,0.75
st20163,24.8,1909.09,2.43
st20164,10.12,312.93,0.67
st20165,22.02,627.34,7.99
st20166,59.62,4833.38,4.86
st20167,45.5,2681.98,4.38
st20168,14.23,189.21,1.01
st20169,53.19,4713.99,1.22
st20170,42.1,5654.15,5.28
st20171,63.93,10983.65,3.11
st20172,17.07,665.78,4.52
st20173,8.87,264.6,4.68
st20174,11.47,209,16.02
st20175,27.73,1015.32,5.28
st20176,13.84,388.55,8.96
st20177,13.9,184.1,20.03
st20178,16.09,343.86,5.01
st20179,59.81,8577.87,2.45
st20180,35.77,2680.27,2.13
st20181,21.33,574.35,5.14
st20182,14.93,346.82,8.43
st20183,25.82,1102.2,0.34
st20184,15.29,236.52,5.44
st20185,51.36,3365.61,2.43
st20186,42.71,2868.35,0.34
st20187,36.82,1446.17,3.63
st20188,29.86,1168.49,13.26
st20189,59.84,4403.1,3.39
st20190,25.63,777.1,6.44
st20191,10.03,182.16,2.7
st20192,28.76,1920.69,4.38
st20193,30.05,942.32,6.41
st20194,14.84,360.92,15.59
st20195,41.8,2529.49,1.69
st20196,66.88,7025.95,1.51
st20197,12.14,382.18,1.39
st20198,51.3,6504.47,1.22
st20199,20.95,504.31,0.75
st20200,21.43,503.97,6.72
st20201,10.14,326.12,0.34
st20202,36.36,2234.75,1.69
st20203,59.35,12012.27,1.35
st20204,25.82,862.95,0.75
st20205,38.73,2539.61,1.97
st20206,18.16,329.31,12.91
st20207,44.26,2944.99,2.26
st20208,54.59,8052.3,2.16
st20209,45.83,7298.97,1.22
st20210,24.43,1701.79,2.7
st20211,36.72,2488.33,0.34
st20212,24.8,854.08,7.76
st20213,32.63,1806.07,0.34
st20214,28.4,3475.68,1.35
st20215,28.36,1089.23,2.16
st20216,24.37,797.45,6.75
st20217,27.09,2080.68,2.9
st20218,14.85,212.18,3.47
st20219,18.35,513.4,8.43
st20220,60.57,6321.06,1.69
st20221,25.25,673.85,1.91
st20222,21.07,471.56,1.97
st20223,29.13,1286.18,6.55
st20224,21.42,441.77,6.41
st20225,28.17,2609.2,1.69
st20226,55.68,15400.39,1.97
st20227,18.22,514.09,0.34
st20228,35.9,4012.85,3.03
st20229,16.2,828.72,9.82
st20230,34.68,4664.98,1.39
st20231,19.56,909.34,1.97
st20232,40.04,1671.32,1.69
st20233,14.84,554.11,4.38
st20234,55.75,3530.71,2.43
st20235,18.81,573.22,4.91
st20236,36.75,2924.18,1.39
st20237,12.72,229.92,3.32
st20238,29.67,1219.43,5.01
st20239,28.61,1791.17,1.39
st20240,12.8,255.05,4.91
st20241,19.66,384.46,4.38
st20242,28.46,865.11,3.03
st20243,23.21,894.9,7.08
st20244,17.5,670.32,1.39
st20245,13.44,378.43,14.5
st20246,38.91,3271.57,2.86
st20247,16.53,397.19,5.4
st20248,12.67,223.21,24.6
st20249,18.7,529.1,1.43
st20250,36.9,3469.08,0.34
st20251,40.24,7623.38,1.97
st20252,49.2,3150.47,7.15
st20253,15.79,690.22,25.23
st20254,29.01,2312.87,5.01
st20255,17.29,871.48,10.48
st20256,16.53,518.52,4.38
st20257,17.06,268.02,2.86
st20258,15.79,471.56,2.45
st20259,21.68,559,2.86
st20260,9.37,267.9,5.58
st20261,47.6,3382.55,2.13
st20262,22.66,706.82,23.68
st20263,37.34,2336.3,3.52
st20264,16.86,1191.57,8.46
st20265,19.6,372.29,1.39
st20266,31.38,2184.61,0.34
st20267,16.91,510.22,3.37
st20268,14.42,442.45,2.26
st20269,24.96,779.94,5.25
st20270,20.03,527.62,3.52
st20271,35.8,1222.73,2.63
st20272,15.22,254.03,1.39
st20273,19.31,497.37,5.4
st20274,15.26,244.25,1.39
st20275,28.16,1617.53,2.16
st20276,15.64,220.26,5.73
st20277,23.02,1234.21,5.89
st20278,39.58,2890.98,2.63
st20279,37.24,5083.66,1.51
st20280,25.95,881.94,25.2
st20281,22.54,667.37,5.06
st20282,17.81,366.6,5.25
st20283,33.57,1795.15,2.63
st20284,17.86,402.54,3.84
st20285,18.81,910.59,5.06
st20286,18.52,440.97,6.68
st20287,46.85,3377.66,1.51
st20288,11.47,365.01,4.52
st20289,15.16,326.01,12.64
st20290,18.52,658.16,1.01
st20291,17.19,498.51,5.89
st20292,17.4,419.14,10.9
st20293,31.09,1727.6,2.63
st20294,11.6,182.96,10.65
st20295,30.54,789.95,26.34
st20296,18.88,217.19,18.62
st20297,24.73,338.4,19.17
st20298,41.01,1027.26,8.77
st20299,14.18,195.35,8.77
st20300,14.59,187.05,10.8
st20301,36.26,1456.29,10.79
st20302,29.41,431.3,13.12
st20303,15.73,352.28,19.22
st20304,37.92,1269.35,9.35
st20305,34.72,697.61,9.35
st20306,47.88,1491.88,4.98
st20307,53.89,2409.75,4.98
st20308,20.24,228.44,5.14
st20309,41.8,954.6,9.6
st20310,13.51,379.68,0.34
st20311,16.53,1635.04,0.34
st20312,24.61,602.67,21.76
st20313,23.6,569.58,13.59
st20314,25.95,642.92,9.73
st20315,51.54,3095.54,11.13
st20316,17.02,400.26,31.62
st20317,65.09,3432.58,2.16
st20318,24.29,335.9,5.25
st20319,12.21,278.36,5.06
st20320,29.95,1062.28,4.4
st20321,29,732.07,7.76
st20322,18.88,226.85,10.66
st20323,26.98,1629.47,3.47
st20324,28.36,791.99,11.86
st20325,16.03,312.02,16.91
st20326,11.31,209,63.5
st20327,23.09,804.16,4.38
st20328,21.43,703.53,22.8
st20329,90.35,13580.46,4.91
st20330,18.99,366.94,5.25
st20331,13.49,226.51,40.72
st20332,12.38,222.99,19.17
st20333,17.06,405.61,17.28
st20334,12.44,233.56,3.77
st20335,61.35,4956.19,1.51
st20336,14.08,497.26,3.02
st20337,16.3,278.25,32.74
st20338,21.96,726.72,2.02
st20339,18.12,349.21,9.41
st20340,20.92,396.4,11.13
st20341,32.65,1735.68,11.92
st20342,17.23,338.97,10.8
st20343,22.97,589.59,2.02
st20344,15.26,363.99,8.6
st20345,11.47,204.11,13.12
st20346,18.88,409.36,11.22
st20347,18.22,396.17,11.41
st20348,26.23,1348.49,3.11
st20349,15.57,385.37,8.77
st20350,30.76,1079.23,7.49
st20351,17.92,752.99,1.82
st20352,18.65,477.58,17.68
st20353,29.38,829.97,13.43
st20354,12.44,209.45,10.12
st20355,19.31,432.9,27.42
st20356,14.08,1130.97,9.3
st20357,12.21,273.25,0.75
st20358,10.49,268.13,8.51
st20359,24.73,755.04,18.44
st20360,11.22,400.26,21.14
st20361,30.76,1757.4,4.83
st20362,13.89,203.43,17.88
st20363,11.31,244.25,0.34
st20364,11.78,193.76,4.72
st20365,12.88,366.15,3.18
st20366,18.56,363.87,10.71
st20367,22.82,528.07,5.61
st20368,14.79,359.44,0.95
st20369,13.89,401.51,10.79
st20370,17.19,581.17,9.83
st20371,32.58,2435.11,2.16
st20372,47.21,4216.16,2.36
st20373,17.5,438.7,10.12
st20374,40.22,1852.57,2.16
st20375,22.89,674.99,8.51
st20376,12.8,371.95,0.34
st20377,14.79,415.16,0.75
st20378,32.65,960.4,3.18
st20379,27.86,1629.25,3.71
st20380,22.27,474.51,12.64
st20381,23.6,618.02,9.41
st20382,23.41,615.06,13.43
st20383,16.33,420.27,6.74
st20384,14.31,526.03,4.72
st20385,20.03,512.49,0.95
st20386,34.45,1531.8,3.11
st20387,27.86,1185.32,11.03
st20388,48.63,3762.34,9.06
st20389,31.09,915.6,3.77
st20390,14.08,361.26,5.56
st20391,14.03,256.87,23.68
st20392,18.88,410.38,10.11
st20393,63,12239.47,2.16
st20394,17.34,452.57,11.41
