,glom_sizes,glom_diameters,glom_distance_to_closest_glom,glom_shape_circularity,glom_shape_eccentricity,glom_shape_elongation,glom_shape_solidity,glom_tuft_sizes,glom_tuft_shape_circularity,glom_tuft_shape_eccentricity,glom_tuft_shape_elongation,glom_tuft_shape_solidity,glom_bowman_sizes,glom_tufttocapsule_ratio
st6028,22985.34,137.46,118.2,0.62,0.72,0.31,0.96,18093.17,0.56,0.72,0.31,0.94,4892.17,0.787161294981932
st6029,18756.33,134.76,65.83,0.72,0.64,0.23,0.98,14659.57,0.55,0.6,0.2,0.94,4096.76,0.781579871968557
st6030,14912.8,109.38,445.67,0.72,0.73,0.32,0.96,10299.9,0.3,0.74,0.32,0.85,4612.9,0.690675124725068
st6031,18589.63,139.01,117.91,0.81,0.52,0.15,0.98,14815.24,0.41,0.55,0.17,0.92,3774.4,0.796962607647382
st6032,23712.86,156.21,236.55,0.63,0.24,0.03,0.96,16775.15,0.23,0.36,0.07,0.85,6937.71,0.707428374308287
st6033,18829.68,142.16,364.56,0.79,0.45,0.1,0.98,14243.84,0.43,0.49,0.13,0.91,4585.83,0.756456827731539
st6034,11429.39,102.51,27.75,0.49,0.29,0.04,0.91,5249.68,0.35,0.8,0.4,0.87,6179.72,0.459314101627471
st6035,4525.34,62.56,8.46,0.59,0.71,0.29,0.95,2400.66,0.54,0.62,0.22,0.89,2124.68,0.530492736457371
st6036,27634.97,166.72,65.83,0.73,0.35,0.06,0.97,21148.12,0.44,0.47,0.12,0.93,6486.85,0.765266616898806
st6037,12725.58,111.96,3.47,0.56,0.57,0.18,0.94,9701.79,0.37,0.59,0.19,0.88,3023.79,0.762384897191327
st6038,31944.83,179.81,482.83,0.55,0.29,0.04,0.94,26219.16,0.51,0.43,0.1,0.95,5725.67,0.820763798085637
st6039,30935.99,183.14,167.85,0.83,0.44,0.1,0.99,26174.02,0.47,0.47,0.12,0.94,4761.97,0.846070224356809
st6040,22375.17,147.18,2.88,0.81,0.6,0.2,0.98,18415.2,0.64,0.63,0.22,0.96,3959.97,0.823019445215388
st6041,17703.15,128.25,3.47,0.56,0.64,0.23,0.94,12685.33,0.48,0.74,0.33,0.92,5017.82,0.71655778773834
st6042,14981.37,114.93,288.19,0.66,0.67,0.25,0.96,6598.97,0.32,0.71,0.3,0.86,8382.4,0.440478407515468
st6043,11734.36,112.22,121.15,0.8,0.36,0.07,0.98,6580.43,0.55,0.31,0.05,0.92,5153.93,0.560783033757274
st6044,24500.76,163.1,70.49,0.76,0.46,0.11,0.98,20883.74,0.64,0.48,0.12,0.96,3617.02,0.852371110120666
st6045,24265.16,148.59,117.91,0.78,0.5,0.14,0.98,19751.07,0.52,0.52,0.14,0.92,4514.08,0.813968257369826
st6046,25126.51,153.34,2.88,0.81,0.58,0.19,0.98,21547.81,0.55,0.58,0.19,0.95,3578.7,0.85757273891201
st6047,31437.91,179.97,288.19,0.71,0.54,0.16,0.97,22184.71,0.31,0.5,0.13,0.9,9253.2,0.705667456901556
st6048,19754.37,117.09,273.54,0.5,0.66,0.25,0.93,9026.01,0.26,0.65,0.24,0.81,10728.37,0.456912065532842
st6049,13783.54,105.93,27.19,0.32,0.47,0.12,0.86,10602.72,0.39,0.64,0.23,0.9,3180.83,0.769230545999068
st6050,11928.13,95.53,58.69,0.43,0.75,0.34,0.93,7291.46,0.22,0.77,0.36,0.81,4636.66,0.611282740882267
st6051,12411.97,113.17,31.88,0.75,0.49,0.13,0.97,9587.74,0.59,0.53,0.15,0.94,2824.23,0.772459166433693
st6052,27037.53,160.6,233.46,0.65,0.63,0.22,0.97,22866.86,0.46,0.63,0.23,0.93,4170.68,0.845745154975325
st6053,24713.74,161.08,45.65,0.77,0.5,0.14,0.97,20746.95,0.48,0.52,0.15,0.94,3966.79,0.839490502044612
st6054,16916.04,127.15,143.5,0.75,0.58,0.18,0.98,12089.48,0.5,0.67,0.26,0.92,4826.56,0.714675538719464
st6055,9804.47,89.23,52.22,0.78,0.77,0.36,0.98,6375.98,0.6,0.75,0.34,0.92,3428.49,0.650313581458253
st6056,11010.6,95.67,364.56,0.63,0.63,0.23,0.94,4324.19,0.53,0.78,0.38,0.88,6686.41,0.392729733166222
st6057,19253.36,139.87,72.3,0.75,0.42,0.09,0.97,15346.95,0.48,0.5,0.13,0.93,3906.41,0.797105024785284
st6058,16380.69,129.09,72.3,0.79,0.58,0.19,0.98,13730.1,0.63,0.57,0.18,0.96,2650.59,0.838188134932045
st6059,20823.14,133.54,482.83,0.46,0.54,0.16,0.92,13422.17,0.26,0.55,0.16,0.83,7400.97,0.644579539877271
st6060,20244.69,139.04,102.42,0.71,0.57,0.18,0.96,15422,0.41,0.62,0.21,0.93,4822.69,0.761780002558696
st6061,7308.98,88.89,45.65,0.82,0.37,0.07,0.97,4925.83,0.49,0.39,0.08,0.94,2383.15,0.673942191660122
st6062,21939.09,148.33,476.43,0.77,0.62,0.21,0.98,18112.16,0.49,0.65,0.24,0.94,3826.93,0.825565691193208
st6063,3360.49,41.34,97.43,0.18,0.8,0.4,0.82,1951.84,0.41,0.88,0.52,0.89,1408.65,0.580820058979494
st6064,8828.94,81.58,118.15,0.36,0.64,0.23,0.85,3123.29,0.22,0.83,0.44,0.73,5705.66,0.353755943522099
st6065,27932.55,146.37,452.35,0.48,0.76,0.35,0.94,22234.51,0.41,0.78,0.37,0.93,5698.04,0.79600716726543
st6066,6684.93,78.93,118.15,0.47,0.57,0.18,0.93,660.54,0.3,0.67,0.26,0.75,6024.39,0.098810309158062
st6067,22377.11,130.18,346.01,0.45,0.44,0.1,0.9,17757.84,0.36,0.44,0.1,0.85,4619.27,0.793571645310766
st6068,12303.94,105.21,75.94,0.67,0.52,0.14,0.94,8466.21,0.52,0.61,0.21,0.93,3837.73,0.688089343738672
st6069,16375.46,126.17,17.23,0.73,0.62,0.22,0.96,11707.64,0.43,0.66,0.25,0.93,4667.82,0.714950297579427
st6070,33962.74,171.57,75.94,0.66,0.64,0.23,0.96,27540.02,0.41,0.65,0.24,0.93,6422.71,0.810889227429825
st6071,14950.21,122.18,67.83,0.8,0.57,0.18,0.99,11039.59,0.6,0.69,0.27,0.95,3910.62,0.738423741204973
st6072,17595.23,120.09,2.57,0.45,0.44,0.1,0.93,11362.87,0.29,0.56,0.17,0.84,6232.36,0.645792638118399
st6073,3868.89,59.12,84.31,0.65,0.66,0.25,0.95,2244.76,0.43,0.78,0.37,0.85,1624.13,0.580207759848432
st6074,21430.81,146.86,216.27,0.71,0.61,0.21,0.98,16426.18,0.42,0.7,0.29,0.93,5004.63,0.766474995578795
st6075,17057.27,133.47,2.57,0.79,0.46,0.11,0.98,11814.19,0.52,0.41,0.09,0.92,5243.08,0.692619041616859
st6076,23517.74,154.62,232.29,0.73,0.46,0.11,0.98,14797.27,0.46,0.4,0.08,0.93,8720.46,0.629196087719313
st6077,3001.28,51.7,337.01,0.71,0.61,0.21,0.96,1165.76,0.47,0.62,0.22,0.88,1835.52,0.388420940398763
st6078,15746.98,127.74,346.01,0.68,0.44,0.1,0.97,5563.52,0.24,0.76,0.35,0.83,10183.47,0.353307110315756
st6079,20485.53,141.69,504.89,0.67,0.59,0.19,0.97,16067.87,0.46,0.57,0.18,0.94,4417.66,0.784352174437274
st6080,27846.81,168.97,18.19,0.63,0.46,0.11,0.97,22084.19,0.42,0.5,0.13,0.92,5762.62,0.793059959112013
st6081,7076.32,75.16,153.33,0.63,0.75,0.33,0.95,1283.68,0.67,0.72,0.31,0.93,5792.64,0.181405024080313
st6082,14900.52,103.17,185.23,0.73,0.78,0.38,0.95,10886.08,0.48,0.79,0.39,0.91,4014.44,0.730583899085401
st6083,10609.42,101.17,128.48,0.68,0.56,0.17,0.96,6835.37,0.3,0.6,0.2,0.88,3774.05,0.64427367377293
st6084,5376.12,64.75,128.48,0.49,0.77,0.36,0.94,1526.56,0.46,0.81,0.42,0.85,3849.56,0.283951995119157
st6085,13680.41,104.52,119.04,0.7,0.69,0.28,0.96,10383.94,0.47,0.73,0.31,0.92,3296.47,0.75903719259876
st6086,6869.71,57.06,304.06,0.3,0.79,0.39,0.73,2401,0.58,0.85,0.48,0.91,4468.71,0.349505292072009
st6087,20600.26,148.67,171.89,0.65,0.45,0.11,0.95,17506.31,0.51,0.56,0.17,0.93,3093.95,0.849810148027258
st6088,17926.25,131.23,344.68,0.73,0.5,0.14,0.97,14622.5,0.63,0.56,0.17,0.94,3303.75,0.815703228505683
st6089,18715.63,121.4,228.58,0.59,0.73,0.31,0.88,15429.28,0.44,0.67,0.26,0.86,3286.35,0.824406124720354
st6090,39360.12,195.23,47.07,0.7,0.55,0.17,0.97,31132.48,0.38,0.6,0.2,0.92,8227.64,0.79096506819593
st6091,16832.35,133.5,171.89,0.82,0.48,0.12,0.98,13571.24,0.57,0.44,0.1,0.95,3261.11,0.806259375547681
st6092,25161.42,160.17,361,0.6,0.51,0.14,0.97,18309.56,0.36,0.62,0.22,0.91,6851.86,0.72768389065482
st6093,15355.82,110.46,168.88,0.58,0.71,0.3,0.96,10009.37,0.55,0.71,0.3,0.92,5346.44,0.651829078486203
st6094,22635,150.23,4.05,0.6,0.41,0.09,0.95,16233.32,0.23,0.51,0.14,0.86,6401.68,0.717177821957146
st6095,4135.43,63.67,38.82,0.61,0.58,0.18,0.95,853.4,0.38,0.77,0.36,0.82,3282.03,0.206363062607758
st6096,28961.63,176.39,56.15,0.71,0.31,0.05,0.97,24220.01,0.59,0.39,0.08,0.96,4741.62,0.836279242570256
st6097,23279.29,130.62,4.05,0.41,0.78,0.38,0.95,18588.38,0.49,0.82,0.43,0.93,4690.9,0.798494283975156
st6098,7983.51,74.12,385.89,0.52,0.87,0.5,0.95,5207.49,0.49,0.91,0.59,0.9,2776.02,0.652280763724226
st6099,22963.85,150.55,132.62,0.78,0.51,0.14,0.98,18968.86,0.57,0.53,0.15,0.95,3994.99,0.826031349272879
st6100,32203.41,171.08,31.24,0.76,0.63,0.22,0.97,27403.68,0.49,0.61,0.21,0.95,4799.72,0.850955845980286
st6101,22770.66,149.67,31.24,0.6,0.32,0.05,0.94,16051.27,0.54,0.52,0.15,0.93,6719.39,0.704910178273269
st6102,22917.34,159.38,232.09,0.83,0.37,0.07,0.99,18838.43,0.47,0.35,0.06,0.94,4078.91,0.822016429480908
st6103,26528.45,114.38,116.75,0.47,0.77,0.36,0.91,16585.14,0.27,0.85,0.47,0.75,9943.31,0.625183152426923
st6104,11862.86,103.7,65.83,0.63,0.56,0.17,0.95,2333.11,0.34,0.9,0.55,0.74,9529.74,0.196673483460144
st6105,28081.74,171.63,306.81,0.81,0.45,0.11,0.98,23232.78,0.58,0.55,0.17,0.94,4848.96,0.82732693914266
st6106,16350.9,123.41,297.19,0.67,0.63,0.22,0.97,13026.34,0.54,0.64,0.23,0.94,3324.56,0.796674189188363
st6107,18780.89,133.5,65.83,0.59,0.62,0.22,0.97,14591.91,0.53,0.62,0.21,0.94,4188.98,0.776955192219325
st6108,16046.5,112.73,445.61,0.7,0.73,0.32,0.96,11221.64,0.29,0.7,0.29,0.87,4824.85,0.699320100956595
st6109,19540.94,143.46,112.33,0.81,0.54,0.16,0.98,15648.62,0.42,0.58,0.19,0.93,3892.31,0.800812038724852
st6110,18844,142.07,445.61,0.81,0.45,0.11,0.98,13908.96,0.46,0.5,0.14,0.92,4935.04,0.738110804500106
st6111,8102.68,69.07,31.44,0.37,0.77,0.36,0.82,4900.59,0.29,0.74,0.33,0.85,3202.09,0.604811000804672
st6112,5372.94,68.13,2.88,0.59,0.68,0.27,0.95,3057.68,0.49,0.61,0.21,0.89,2315.26,0.56908880426731
st6113,18351.52,134.2,64,0.75,0.63,0.22,0.97,13261.38,0.35,0.62,0.21,0.9,5090.14,0.7226311498993
st6114,31224.93,180.74,480.75,0.64,0.44,0.1,0.96,26002.54,0.53,0.43,0.1,0.95,5222.39,0.8327493448344
st6115,22652.85,158.51,233.94,0.68,0.36,0.07,0.97,17997.2,0.44,0.5,0.13,0.93,4655.65,0.794478398965252
st6116,18085.33,118.7,4.12,0.79,0.76,0.35,0.99,15773.7,0.66,0.74,0.33,0.97,2311.62,0.87218203925502
st6117,11485,108.58,259.18,0.79,0.44,0.1,0.98,6815.36,0.46,0.43,0.1,0.91,4669.64,0.593414018284719
st6118,27266.55,166.93,64,0.76,0.39,0.08,0.97,21163.81,0.44,0.46,0.11,0.92,6102.73,0.776182171928609
st6119,12764.13,98.79,813.04,0.68,0.79,0.38,0.97,6736.78,0.39,0.77,0.37,0.91,6027.34,0.527789986469896
st6120,13171.89,96.29,69.39,0.67,0.82,0.42,0.97,11171.84,0.54,0.82,0.43,0.94,2000.06,0.848157705538082
st6121,11842.84,76.72,112.33,0.61,0.91,0.59,0.97,10256.13,0.51,0.91,0.59,0.95,1586.72,0.866019468303211
st6122,12675.89,113.81,4.83,0.52,0.48,0.13,0.93,9292.2,0.39,0.57,0.18,0.9,3383.69,0.733060952722058
st6123,5375.1,39.79,4.12,0.43,0.97,0.77,0.97,4080.05,0.35,0.98,0.8,0.94,1295.05,0.759064947628881
st6124,30121.48,180.97,167.09,0.8,0.44,0.1,0.99,25405.1,0.53,0.49,0.13,0.95,4716.37,0.843421372389405
st6125,17900.55,121.38,4.83,0.54,0.61,0.21,0.94,12433.23,0.47,0.73,0.32,0.93,5467.32,0.694572513135071
st6126,9487.22,99.31,512.85,0.63,0.49,0.13,0.96,1480.28,0.43,0.88,0.52,0.85,8006.93,0.156028847228166
st6127,25909.98,155.28,266.21,0.62,0.64,0.23,0.96,21875.98,0.42,0.66,0.25,0.93,4034,0.844307097110843
st6128,24856.57,163.23,46.3,0.81,0.46,0.11,0.98,21206.91,0.55,0.5,0.13,0.95,3649.65,0.85317121388832
st6129,16859.98,117.3,480.75,0.57,0.6,0.2,0.93,11008.78,0.27,0.63,0.22,0.86,5851.21,0.652953324974288
st6130,18908.93,130.72,71.83,0.69,0.45,0.11,0.96,14835.93,0.37,0.54,0.16,0.92,4073,0.784599128559892
st6131,16078.9,128.85,71.83,0.81,0.53,0.15,0.98,13338.37,0.57,0.52,0.15,0.96,2740.54,0.829557370218112
st6132,6676.06,85.53,46.3,0.83,0.32,0.05,0.98,4664.98,0.69,0.41,0.09,0.95,2011.09,0.698762443716803
st6133,21277.52,145.59,466.39,0.71,0.61,0.21,0.98,17691.66,0.48,0.63,0.22,0.94,3585.86,0.831471900860627
st6134,3386.41,58.15,181.22,0.56,0.54,0.16,0.94,1329.5,0.43,0.73,0.31,0.88,2056.91,0.392598651669467
st6135,11974.29,101.84,91.62,0.49,0.67,0.26,0.93,8865.56,0.32,0.63,0.22,0.88,3108.73,0.740382937109423
st6136,22669.23,149.05,0.75,0.81,0.6,0.2,0.98,18812.85,0.53,0.64,0.23,0.95,3856.38,0.829884826260089
st6137,9031.01,97.24,299.21,0.79,0.45,0.11,0.97,4804.04,0.77,0.48,0.12,0.96,4226.96,0.531949361145653
st6138,18595.43,107.17,0.75,0.73,0.83,0.45,0.99,16059.91,0.6,0.83,0.44,0.96,2535.52,0.863648218944117
st6139,15184,106.56,91.62,0.69,0.79,0.38,0.97,12855.44,0.62,0.79,0.38,0.96,2328.57,0.846643835616438
st6140,7032.54,68.04,31.06,0.57,0.84,0.46,0.96,5520.42,0.49,0.85,0.47,0.93,1512.12,0.784982381899001
st6141,27105.19,142.84,457.69,0.49,0.76,0.35,0.93,20940.03,0.32,0.78,0.37,0.91,6165.16,0.772546881243039
st6142,10725.98,91.1,109.34,0.38,0.55,0.17,0.9,3503.99,0.35,0.83,0.44,0.81,7221.99,0.3266825036034
st6143,22217.91,145.7,336.91,0.65,0.4,0.08,0.97,18037.11,0.42,0.35,0.07,0.9,4180.8,0.811827485123488
st6144,17048.86,126.38,69.93,0.69,0.67,0.26,0.95,12115.07,0.45,0.65,0.24,0.92,4933.79,0.710608803169244
st6145,16142.13,118.4,3.18,0.55,0.46,0.11,0.93,10821.27,0.4,0.58,0.19,0.91,5320.86,0.670374355800629
st6146,11058.01,103.01,55.88,0.65,0.56,0.17,0.96,7543.22,0.53,0.65,0.24,0.93,3514.79,0.682149862407431
st6147,14229.63,119.71,69.93,0.78,0.57,0.18,0.98,10742.24,0.58,0.68,0.27,0.95,3487.39,0.754920542558029
st6148,33985.93,174.38,55.88,0.45,0.58,0.18,0.95,26749.39,0.46,0.65,0.24,0.93,7236.54,0.787072473814899
st6149,22580.31,149.45,223.13,0.79,0.49,0.13,0.98,13680.07,0.46,0.49,0.13,0.94,8900.24,0.605840663834996
st6150,17187.01,134.4,3.18,0.77,0.46,0.11,0.97,11958.49,0.51,0.52,0.15,0.93,5228.53,0.695786527150447
st6151,3191.63,51.58,399.48,0.75,0.69,0.28,0.95,1453.11,0.54,0.78,0.37,0.91,1738.52,0.455287736987057
st6152,20163.84,141.78,8.09,0.71,0.62,0.22,0.98,15022.19,0.45,0.75,0.33,0.92,5141.65,0.745006407509681
st6153,15430.75,122.61,336.91,0.45,0.46,0.11,0.96,2979.56,0.16,0.48,0.12,0.79,12451.2,0.193092364272637
st6154,19081.77,134.21,495.36,0.78,0.61,0.21,0.98,14711.08,0.47,0.64,0.23,0.93,4370.69,0.770949445465489
st6155,27590.96,169.81,42.49,0.81,0.44,0.1,0.99,21974.57,0.44,0.48,0.12,0.92,5616.39,0.796440935726774
st6156,8338.85,80.55,202.34,0.42,0.77,0.36,0.86,1655.51,0.56,0.67,0.26,0.87,6683.34,0.198529773290082
st6157,15520.02,107.02,231.11,0.75,0.77,0.36,0.96,11334.67,0.45,0.78,0.37,0.91,4185.35,0.730325734116322
st6158,12722.85,98.33,202.34,0.59,0.66,0.25,0.95,9510.41,0.5,0.73,0.32,0.91,3212.44,0.747506258424803
st6159,11246.89,97.85,300.93,0.51,0.58,0.19,0.93,4948.23,0.28,0.87,0.5,0.7,6298.66,0.439964292351041
st6160,22246.22,147.59,175.52,0.7,0.61,0.21,0.98,18397.58,0.59,0.67,0.26,0.94,3848.65,0.826998024832983
st6161,18437.49,134.98,326.36,0.47,0.4,0.08,0.94,14549.95,0.56,0.52,0.15,0.93,3887.54,0.789150258522174
st6162,23711.16,152.03,137.32,0.77,0.53,0.15,0.98,19719.8,0.49,0.56,0.17,0.95,3991.36,0.831667451107411
st6163,22848.44,150.03,39.75,0.67,0.35,0.06,0.96,16106.31,0.59,0.41,0.09,0.94,6742.13,0.704919460584618
st6164,32311.32,174.54,39.75,0.75,0.59,0.2,0.98,27409.37,0.44,0.57,0.18,0.94,4901.95,0.848290011054949
st6165,22233.6,141.15,224.25,0.78,0.7,0.29,0.98,17582.16,0.48,0.68,0.27,0.93,4651.45,0.79079231433506
st6166,20750.82,146.76,177.05,0.75,0.55,0.16,0.98,14017.33,0.31,0.6,0.2,0.91,6733.49,0.675507281158046
st6167,40984.36,202.18,50.46,0.71,0.52,0.15,0.97,32459.03,0.37,0.57,0.18,0.93,8525.34,0.791985772133565
st6168,4686.92,67.04,269.77,0.7,0.55,0.16,0.97,622.68,0.37,0.89,0.55,0.81,4064.24,0.132854838572026
st6169,16540.68,130.55,175.52,0.76,0.5,0.13,0.97,12056.39,0.41,0.51,0.14,0.91,4484.29,0.728893249854299
st6170,25644.81,159.85,366.25,0.69,0.6,0.2,0.97,16753.09,0.27,0.51,0.14,0.87,8891.71,0.653274093276573
st6171,16974.94,119.75,166.48,0.68,0.72,0.3,0.98,11969.18,0.44,0.76,0.35,0.92,5005.77,0.705108825126922
st6172,7301.02,66.09,235.43,0.59,0.89,0.54,0.99,6118.43,0.46,0.9,0.56,0.95,1182.59,0.83802400212573
st6173,12713.75,75.54,19.79,0.35,0.8,0.4,0.69,9165.76,0.23,0.8,0.4,0.63,3548,0.72093284829417
st6174,14203.93,106.61,38.28,0.57,0.44,0.1,0.94,708.76,0.26,0.51,0.14,0.71,13495.17,0.049898866018067
st6175,28783.9,159.43,69.03,0.8,0.64,0.23,0.99,21335.63,0.34,0.7,0.29,0.9,7448.27,0.741234856986023
st6176,23070.85,158.87,4.17,0.76,0.46,0.11,0.98,16505.43,0.38,0.58,0.18,0.87,6565.42,0.715423575637655
st6177,25228.85,110,116.12,0.42,0.69,0.28,0.9,16026.48,0.24,0.8,0.4,0.73,9202.37,0.635244174823664
st6178,3274.75,49.51,47.05,0.34,0.34,0.06,0.88,961.88,0.54,0.87,0.51,0.92,2312.87,0.293726238644171
st6179,12246.29,109.09,63.43,0.53,0.49,0.13,0.95,1345.08,0.25,0.95,0.68,0.82,10901.21,0.109835713509969
st6180,9389.2,76.88,389.47,0.37,0.84,0.46,0.88,5623.44,0.4,0.89,0.55,0.88,3765.75,0.59892642610659
st6181,24207.16,131.82,4.17,0.59,0.77,0.36,0.96,19130.1,0.47,0.81,0.42,0.94,5077.06,0.790266185707039
st6182,29887.58,177.49,53.35,0.49,0.3,0.05,0.96,24085.61,0.51,0.37,0.07,0.94,5801.97,0.80587354345852
st6183,17237.96,127.49,63.43,0.63,0.59,0.19,0.98,14476.15,0.57,0.55,0.16,0.95,2761.8,0.83978324581331
st6184,16406.85,111.95,140.76,0.43,0.39,0.08,0.87,7919.37,0.43,0.75,0.33,0.86,8487.47,0.48268680459686
st6185,20386.6,139.6,32.52,0.73,0.64,0.23,0.97,16861.69,0.59,0.65,0.24,0.96,3524.91,0.827096720394769
st6186,12514.3,93.55,80.6,0.72,0.69,0.27,0.95,9105.15,0.52,0.75,0.33,0.92,3409.16,0.727579648881679
st6187,8968.81,72.7,47.16,0.58,0.84,0.46,0.94,5702.93,0.32,0.89,0.54,0.84,3265.88,0.635862505728185
st6188,19038.68,137.09,57.23,0.72,0.3,0.05,0.96,14643.88,0.32,0.44,0.1,0.91,4394.8,0.769164668979152
st6189,3584.27,58.22,98.49,0.83,0.65,0.24,0.98,1675.41,0.57,0.53,0.15,0.91,1908.86,0.467434093971715
st6190,16978.92,138.26,47.16,0.79,0.26,0.04,0.98,13537.81,0.38,0.35,0.06,0.91,3441.11,0.797330454469425
st6191,3118.85,49.25,127.13,0.75,0.76,0.35,0.98,858.29,0.36,0.68,0.27,0.78,2260.57,0.275194382544848
st6192,27665.56,146.28,458.13,0.41,0.76,0.36,0.92,21240.57,0.39,0.77,0.37,0.92,6424.99,0.767762156269383
st6193,22890.4,150.55,343.34,0.54,0.29,0.04,0.96,17101.5,0.34,0.43,0.1,0.86,5788.89,0.747103589277601
st6194,10666.28,95.04,103.62,0.37,0.7,0.28,0.89,4896.15,0.32,0.8,0.4,0.83,5770.13,0.459030702362961
st6195,9787.87,101.34,103.62,0.59,0.39,0.08,0.96,855.79,0.23,0.76,0.35,0.8,8932.08,0.087433731751648
st6196,8839.06,60.42,166.44,0.44,0.91,0.59,0.95,6739.74,0.32,0.91,0.59,0.88,2099.32,0.762495106945761
st6197,15869.56,118.05,2.38,0.66,0.41,0.09,0.94,10919.51,0.59,0.52,0.15,0.94,4950.05,0.6880789385465
st6198,17171.21,126.71,11.69,0.72,0.67,0.25,0.96,12475.76,0.52,0.64,0.24,0.92,4695.45,0.726551011839003
st6199,17230.45,119.99,150.85,0.41,0.25,0.03,0.92,8098.35,0.52,0.74,0.33,0.87,9132.1,0.470002234416397
st6200,8479.28,93.1,166.44,0.56,0.47,0.12,0.92,4487.59,0.31,0.51,0.14,0.79,3991.7,0.529241869592701
st6201,33360.64,188.63,299.04,0.74,0.38,0.08,0.98,20509.41,0.22,0.63,0.23,0.88,12851.23,0.614778673310824
st6202,21930.79,148.71,216.08,0.75,0.54,0.16,0.98,13311.87,0.49,0.53,0.15,0.92,8618.92,0.606994549671945
st6203,17935.12,137.44,2.38,0.81,0.5,0.13,0.98,12519.76,0.48,0.49,0.13,0.92,5415.35,0.698058334708661
st6204,13773.08,116.84,69.78,0.78,0.61,0.21,0.99,10009.94,0.52,0.68,0.27,0.94,3763.14,0.726775710298641
st6205,8396.73,87.54,153.5,0.36,0.63,0.23,0.89,4491,0.64,0.56,0.17,0.92,3905.73,0.534851067022519
st6206,22271.7,152.43,72.69,0.75,0.43,0.1,0.97,17618.55,0.56,0.51,0.14,0.95,4653.15,0.791073425019195
st6207,10340.16,99.48,66.97,0.69,0.61,0.2,0.97,7340.93,0.5,0.61,0.21,0.94,2999.23,0.709943559867546
st6208,33682.67,176.18,66.97,0.61,0.57,0.18,0.96,26646.94,0.5,0.63,0.22,0.94,7035.73,0.791117212501266
st6209,12444.94,90.5,72.32,0.71,0.7,0.29,0.95,8732.29,0.48,0.76,0.35,0.9,3712.65,0.701673933341583
st6210,15307.49,121.71,343.34,0.49,0.44,0.1,0.96,5552.15,0.22,0.72,0.31,0.87,9755.34,0.362708059910541
st6211,9227.39,75.31,49.91,0.42,0.81,0.41,0.9,4919.69,0.25,0.87,0.51,0.8,4307.7,0.533161598241756
st6212,18943.84,133.3,72.69,0.7,0.46,0.11,0.96,14247.48,0.33,0.56,0.17,0.89,4696.36,0.752090389276936
st6213,15543.33,121.91,351.94,0.75,0.56,0.17,0.97,11675.8,0.57,0.64,0.23,0.93,3867.52,0.751177514728182
st6214,16639.27,114.7,4.27,0.6,0.6,0.2,0.97,12367.28,0.41,0.74,0.33,0.92,4271.99,0.743258568434793
st6215,2989.22,52.35,106.58,0.77,0.61,0.21,0.97,790.4,0.37,0.27,0.04,0.84,2198.82,0.264416804383752
st6216,17488.46,140.51,49.91,0.75,0.17,0.01,0.98,14153.78,0.4,0.37,0.07,0.94,3334.68,0.809321118040125
st6217,18383.14,132.11,499.53,0.76,0.62,0.22,0.98,14163.22,0.49,0.65,0.24,0.93,4219.91,0.770446180576332
st6218,5929.55,50.74,408.09,0.24,0.87,0.51,0.71,2006.54,0.25,0.98,0.81,0.77,3923.02,0.338396674283883
st6219,7971.34,88.24,86.43,0.74,0.59,0.19,0.98,5263.55,0.56,0.67,0.25,0.93,2707.79,0.660309308096255
st6220,10132.86,92.59,298.89,0.53,0.65,0.24,0.92,4414.47,0.23,0.85,0.47,0.65,5718.39,0.435658836695661
st6221,21708.72,146.22,164.35,0.68,0.6,0.2,0.97,17918.97,0.58,0.66,0.25,0.95,3789.75,0.825427293732657
st6222,16702.04,128.79,327.02,0.69,0.49,0.13,0.96,13639.47,0.49,0.54,0.16,0.91,3062.57,0.816634973931328
st6223,22775.78,149.67,169.62,0.81,0.53,0.15,0.98,18960.1,0.54,0.57,0.18,0.95,3815.67,0.832467647650267
st6224,21200.54,136.91,236.38,0.75,0.71,0.3,0.98,16390.7,0.47,0.73,0.32,0.92,4809.84,0.773126533569428
st6225,40776.84,203.34,44.35,0.58,0.48,0.12,0.97,32435.94,0.41,0.58,0.18,0.94,8340.9,0.795450064301206
st6226,5686.1,77.85,262.48,0.86,0.51,0.14,0.99,1445.6,0.49,0.69,0.28,0.83,4240.5,0.254234009250629
st6227,19887.98,144.04,179.77,0.76,0.52,0.15,0.98,13278.55,0.37,0.51,0.14,0.91,6609.43,0.667667103446403
st6228,31053.11,170.52,33.64,0.77,0.6,0.2,0.98,26365.16,0.4,0.58,0.18,0.94,4687.95,0.849034444537117
st6229,21477.09,144.7,33.64,0.56,0.33,0.06,0.93,15128.4,0.56,0.4,0.08,0.94,6348.69,0.704397104076949
st6230,16514.3,129.13,164.35,0.51,0.64,0.23,0.9,10668.9,0.45,0.56,0.17,0.9,5845.41,0.64604009858123
st6231,24483.25,158.34,367.25,0.67,0.56,0.17,0.96,16054.68,0.31,0.47,0.12,0.89,8428.57,0.655741374204813
st6232,13669.04,116.38,39.42,0.57,0.41,0.09,0.95,1706.34,0.08,0.85,0.47,0.69,11962.69,0.124832468117732
st6233,17925.11,122.16,38.15,0.55,0.74,0.33,0.95,13071.94,0.58,0.77,0.36,0.94,4853.17,0.729252986453082
st6234,22439.76,155.12,3.37,0.72,0.49,0.13,0.97,16669.86,0.4,0.48,0.12,0.89,5769.9,0.742871581514241
