PhEMD ,PseudoBulk,PILOT,Proportions
0.04,0.73,0.59,0.56
0.02,0.34,0.28,0.39
-0.06,0.86,0.73,0.7
0,0.21,0.30,0.25
-0.03,0.07,0.1,0
-0.04,0.01,0.07,0
-0.01,0.25,0.36,0.25
-0.06,-0.25,-0.14,-0.14
0.44,0.16,0.11,0.24
-0.02,-0.17,-0.01,-0.03
-0.13,0.19,-0.01,-0.03
0.09,0.29,0.6,0.95
