Gene ID,Expression pattern,Fitted function,adjusted P-value,R-squared,mod_rsquared_adj,Terminal_logFC,Transient_logFC,Switching_time,area,cluster
AC010618.3,linear up quadratic down,linear_quadratic,3.00849057420507E-46,-0.08,0.46,-0.1,1.08,0.93,52.61,1
AC005355.1,linear up quadratic down,linear_quadratic,3.10536400038601E-16,-0.08,0.47,-0.09,1.16,0.93,53.39,1
UCKL1,linear up,linear,1.572964735273E-20,-0.08,0.46,0.22,0,0.53,2.93,5
AC068888.1,linear up quadratic down,linear_quadratic,4.90615213922216E-32,-0.08,0.46,-0.1,1.07,0.92,52.39,1
CASD1,linear up quadratic down,linear_quadratic,0.002515227053834,-0.08,0.46,-0.17,0.19,0.81,32.25,1
MAPK6,linear up quadratic down,linear_quadratic,6.21523118291412E-33,-0.08,0.46,-0.09,1.19,0.94,54.01,1
TMEM161B,quadratic down,quadratic,5.64546487358094E-10,-0.08,0.46,-0.2,0,0.65,14.7,1
DESI2,linear down,linear,0.000216809085758,-0.08,0.46,-0.19,-0.01,0.48,1.7,2
SLC45A4,linear up,linear,8.58327196153327E-33,-0.08,0.46,0.21,0,0.5,0.39,5
AC090825.1,linear down,linear,1.67935812069343E-06,-0.08,0.46,-0.21,0,0.5,0.09,2
IARS,linear down,linear,0.0089609617799,-0.08,0.46,-0.2,0,0.51,0.71,2
SEC24D,linear down,linear,5.6048746686919E-10,-0.08,0.46,-0.2,0,0.51,1.29,2
UQCR11,linear up quadratic down,linear_quadratic,4.91964581749605E-49,-0.08,0.46,-0.05,1.56,0.96,58.05,6
ADAM19,linear up quadratic down,linear_quadratic,1.64232073031814E-05,-0.08,0.47,-0.16,0.38,0.85,38.37,1
ELMOD2,quadratic down,quadratic,2.89861056400771E-11,-0.08,0.46,-0.2,0,0.65,15.05,1
LINC00662,linear up quadratic down,linear_quadratic,1.04324433152788E-10,-0.08,0.46,-0.17,0.25,0.83,33.83,1
PNKP,linear up quadratic down,linear_quadratic,6.35172820395773E-07,-0.08,0.46,-0.17,0.24,0.82,33.53,1
RMND5A,linear down,linear,2.9357882803196E-16,-0.08,0.46,-0.2,0,0.51,0.75,2
ZNF791,linear up quadratic down,linear_quadratic,0.001924046450662,-0.08,0.46,-0.14,0.52,0.87,41.28,1
PCDHGA5,linear down,linear,0.000313964938695,-0.08,0.46,-0.2,0,0.51,1.34,2
AC244033.2,quadratic down,quadratic,2.36990604810937E-08,-0.08,0.46,-0.19,0,0.65,14.28,1
LINC02388,linear up quadratic down,linear_quadratic,2.66739666640039E-97,-0.08,0.58,-0.1,1.1,0.93,52.97,1
AC023424.3,linear up quadratic down,linear_quadratic,0.000247791456087,-0.08,0.46,-0.13,0.68,0.89,45.44,1
ZNF397,linear up quadratic down,linear_quadratic,4.80114270132474E-26,-0.08,0.46,-0.09,1.18,0.94,54.04,1
RABL6,linear up,linear,1.75831206115522E-17,-0.08,0.46,0.21,0,0.47,2.61,5
NAA50,linear up quadratic down,linear_quadratic,4.80679863205652E-05,-0.08,0.46,-0.14,0.57,0.88,42.78,1
AC006299.1,linear down quadratic up,linear_quadratic,8.84223041432494E-31,-0.08,0.46,-0.19,-0.03,0.24,24.14,2
ATP1B3,linear up quadratic down,linear_quadratic,5.32171308052114E-42,-0.08,0.48,-0.09,1.16,0.93,53.79,1
GRSF1,linear up quadratic down,linear_quadratic,2.249922259449E-33,-0.08,0.46,-0.07,1.3,0.94,54.83,6
ZBTB4,linear up,linear,5.58679182157417E-35,-0.08,0.46,0.21,0,0.5,0.1,5
SOX2-OT,linear up quadratic down,linear_quadratic,1.15848376218026E-06,-0.08,0.46,-0.13,0.77,0.9,47.37,1
ACBD5,linear up quadratic down,linear_quadratic,0.018407659195714,-0.08,0.46,-0.15,0.53,0.87,42.73,1
LINC01725,quadratic down,quadratic,1.75824475876632E-42,-0.08,0.46,-0.2,0,0.64,13.3,1
GALNT11,linear down,linear,0.018526639983104,-0.08,0.46,-0.2,0,0.52,1.95,2
NUP133,linear down,linear,5.79132998807387E-05,-0.09,0.46,-0.2,0,0.5,0.33,2
RPA1,linear down quadratic up,linear_quadratic,1.51829412635934E-23,-0.09,0.46,-0.15,-0.4,0.15,37.56,2
FAM219A,linear up quadratic down,linear_quadratic,3.31838299540516E-09,-0.09,0.46,-0.09,1.08,0.91,50.95,1
MGMT,linear down quadratic up,linear_quadratic,1.52505507479578E-09,-0.09,0.46,-0.15,-0.38,0.16,37.1,2
BANP,linear up quadratic down,linear_quadratic,7.30647687647982E-07,-0.09,0.46,-0.14,0.65,0.89,44.73,1
SLX4IP,linear up quadratic down,linear_quadratic,0.013958298126636,-0.09,0.46,-0.17,0.24,0.82,33.16,1
ZNF33B,linear down,linear,1.19622769682836E-24,-0.09,0.46,-0.2,0,0.48,1.51,2
PSAP,linear up,linear,2.40622379163117E-29,-0.09,0.46,0.21,0,0.48,2.06,5
UBE2F,linear up quadratic down,linear_quadratic,1.6713185044633E-07,-0.09,0.46,-0.12,0.76,0.89,46.39,1
AC007114.2,linear up quadratic down,linear_quadratic,3.15873243144612E-19,-0.09,0.46,-0.11,0.93,0.91,50.29,1
CYFIP1,linear up,linear,1.20471379344315E-18,-0.09,0.46,0.21,0,0.47,2.86,5
COX6A2,linear up quadratic down,linear_quadratic,0.000424204238516,-0.09,0.46,-0.11,0.9,0.91,49.96,1
ZNF562,linear up quadratic down,linear_quadratic,5.28929304734888E-10,-0.09,0.46,-0.12,0.77,0.9,47.17,1
JUN,linear up,linear,1.47692375062561E-107,-0.09,0.46,0.2,0,0.5,0.09,5
PARL,linear up,linear,2.88424715888707E-11,-0.09,0.46,0.2,0.01,0.49,1.49,5
HDHD2,quadratic down,quadratic,3.49759021885754E-09,-0.09,0.46,-0.2,0,0.66,15.92,1
NASP,quadratic up,quadratic,4.93177241392577E-24,-0.09,0.46,0.21,0,0.65,15.02,5
SRGAP1,linear down quadratic up,linear_quadratic,1.48496042515139E-37,-0.09,0.46,-0.1,-1.06,0.08,52.27,4
RPL13,linear up,linear,6.77669887240353E-13,-0.09,0.46,0.2,0,0.49,1.12,5
ABHD3,linear up quadratic down,linear_quadratic,1.35239057453952E-41,-0.09,0.46,-0.1,1.07,0.93,52.58,1
AC015845.2,linear up quadratic down,linear_quadratic,2.68216009613717E-64,-0.09,0.46,-0.19,0.02,0.74,23.19,1
MPPE1,linear up quadratic down,linear_quadratic,5.15298881470092E-16,-0.09,0.46,-0.09,1.12,0.93,53.22,1
COL10A1,linear up quadratic down,linear_quadratic,7.74439745489919E-06,-0.09,0.45,-0.15,0.47,0.86,40.49,1
RAD21,linear down,linear,7.74003118921599E-24,-0.09,0.45,-0.21,0,0.52,1.74,2
CIAO2A,linear up quadratic down,linear_quadratic,0.012414713896848,-0.09,0.45,-0.14,0.56,0.87,42.47,1
PPP2R1A,quadratic up,quadratic,4.45322689192207E-26,-0.09,0.45,0.21,0,0.64,14.04,5
MTMR2,linear down,linear,6.88139551587728E-10,-0.09,0.45,-0.2,0,0.51,0.85,2
TBCD,linear down quadratic up,linear_quadratic,1.60987957455048E-21,-0.09,0.46,0.17,-0.3,0.84,36.5,3
TLE5,linear up quadratic down,linear_quadratic,2.9633350234883E-36,-0.09,0.45,-0.01,1.89,0.97,59.43,6
DENND2C,linear up quadratic down,linear_quadratic,0.013717328166835,-0.09,0.45,-0.12,0.78,0.89,46.79,1
FBXO3,linear up quadratic down,linear_quadratic,0.02527975347558,-0.10,0.45,-0.17,0.29,0.84,36.45,1
COX7C,linear up,linear,1.04460914445466E-54,-0.10,0.45,0.2,0,0.51,0.87,5
PPP1R3B,linear up quadratic down,linear_quadratic,1.0286529002371E-10,-0.10,0.45,-0.17,0.26,0.83,34.54,1
SAMD4B,linear up quadratic down,linear_quadratic,1.99464457257622E-14,-0.10,0.45,-0.1,1.06,0.92,52.29,1
GLRX3,linear up quadratic down,linear_quadratic,0.001559377552145,-0.10,0.45,-0.15,0.42,0.85,37.73,1
NDUFA13,linear up quadratic down,linear_quadratic,1.54274587444577E-05,-0.10,0.45,-0.13,0.71,0.89,46.02,1
SHLD1,linear up quadratic down,linear_quadratic,1.1949465453987E-18,-0.10,0.45,-0.09,1.08,0.92,51.5,1
SMPD4,quadratic up,quadratic,2.71600090453363E-41,-0.10,0.46,0.21,0,0.65,15.05,5
SGCE,linear up quadratic down,linear_quadratic,9.29396012304884E-12,-0.10,0.45,-0.17,0.21,0.82,32.78,1
GPR157,linear up quadratic down,linear_quadratic,2.37813288545661E-21,-0.10,0.45,-0.12,0.85,0.91,48.89,1
CHP1,linear up quadratic down,linear_quadratic,3.82199199119198E-77,-0.10,0.45,0.01,1.89,0.03,59.82,6
RNF144A,linear down,linear,3.697112559097E-12,-0.10,0.45,-0.2,0,0.51,0.59,2
DGKZ,linear up quadratic down,linear_quadratic,9.18481495969845E-67,-0.10,0.45,-0.04,1.66,0.97,58.77,6
NDUFB1,linear up quadratic down,linear_quadratic,2.424258797024E-15,-0.10,0.45,-0.11,0.94,0.91,49.98,1
BLCAP,linear up quadratic down,linear_quadratic,1.23314854176153E-38,-0.10,0.45,-0.07,1.4,0.95,56.49,6
ITGA3,linear up quadratic down,linear_quadratic,3.873391892561E-12,-0.10,0.45,-0.14,0.64,0.89,44.38,1
LEMD3,linear down,linear,3.26859160543493E-22,-0.10,0.45,-0.2,0,0.5,0.13,2
SLC6A6,linear down quadratic up,linear_quadratic,1.94446758711255E-18,-0.10,0.47,0.11,-1.02,0.94,54.67,3
SLC39A10,linear down,linear,2.94788396015374E-46,-0.10,0.45,-0.21,0,0.51,1.05,2
C3orf52,linear down quadratic up,linear_quadratic,6.26178115568761E-06,-0.10,0.45,0.07,-1.3,0.93,53.77,4
AC007038.1,linear up quadratic down,linear_quadratic,0.024250801645033,-0.10,0.45,-0.15,0.43,0.86,39.41,1
NACA,linear up quadratic down,linear_quadratic,2.87165652552135E-29,-0.10,0.45,-0.09,1.16,0.93,53.78,1
EXOC1,linear down,linear,7.77126047129839E-06,-0.10,0.45,-0.21,0,0.52,2.35,2
MAP2K1,linear up quadratic down,linear_quadratic,5.06528689676476E-35,-0.10,0.45,-0.06,1.43,0.95,56.27,6
TSPAN12,linear up quadratic down,linear_quadratic,7.89429669137191E-28,-0.11,0.45,-0.18,0.06,0.75,24.12,1
STRIP2,linear up quadratic down,linear_quadratic,3.99141380968112E-07,-0.11,0.45,-0.15,0.43,0.86,38.91,1
AC008696.2,linear up quadratic down,linear_quadratic,2.99329515225921E-24,-0.11,0.45,-0.11,0.93,0.91,50.31,1
RNF34,linear up quadratic down,linear_quadratic,5.43228297143567E-17,-0.11,0.45,-0.11,0.98,0.92,50.85,1
SLCO1C1,linear up quadratic down,linear_quadratic,1.8284515732354E-30,-0.11,0.46,-0.17,0.21,0.82,32.63,1
TUBGCP2,linear up quadratic down,linear_quadratic,3.79444648708064E-12,-0.11,0.45,-0.11,0.92,0.91,50.25,1
ATP9A,linear up quadratic down,linear_quadratic,0.046501427168224,-0.11,0.45,-0.15,0.48,0.86,39.7,1
DNASE1,linear up quadratic down,linear_quadratic,4.14984985399538E-10,-0.11,0.45,-0.13,0.7,0.89,45.54,1
RCHY1,linear up quadratic down,linear_quadratic,0.001164169989545,-0.11,0.45,-0.18,0.18,0.82,32.41,1
NDUFB5,linear up quadratic down,linear_quadratic,0.000872142208725,-0.11,0.45,-0.14,0.59,0.88,43.44,1
RNF14,linear up quadratic down,linear_quadratic,5.76556410510356E-07,-0.11,0.44,-0.17,0.27,0.83,34.93,1
NDUFS8,linear up quadratic down,linear_quadratic,1.91532283987673E-29,-0.11,0.44,-0.1,1.05,0.92,52.13,1
BEND7,linear up quadratic down,linear_quadratic,1.04756193263839E-11,-0.11,0.44,-0.18,0.11,0.79,28.88,1
CEP290,linear up quadratic down,linear_quadratic,2.08000988448742E-06,-0.11,0.45,-0.13,0.61,0.88,43.03,1
AVEN,linear down,linear,1.10536923580394E-08,-0.12,0.44,-0.2,0,0.52,1.44,2
FNTA,linear up quadratic down,linear_quadratic,0.00167554776468,-0.12,0.44,-0.14,0.6,0.88,43.53,1
USP16,linear up quadratic down,linear_quadratic,0.000934368174941,-0.12,0.44,-0.14,0.63,0.89,44.76,1
XPA,linear up quadratic down,linear_quadratic,0.007339722431914,-0.12,0.44,-0.17,0.24,0.83,33.65,1
AC131571.1,linear up quadratic down,linear_quadratic,2.0704356862588E-09,-0.12,0.44,-0.12,0.78,0.9,47.54,1
PNRC1,linear up quadratic down,linear_quadratic,5.83971264535358E-05,-0.12,0.44,-0.17,0.18,0.81,31.28,1
POM121C,linear up quadratic down,linear_quadratic,1.86969382578907E-11,-0.12,0.44,-0.1,1.08,0.92,52.02,1
BMPR1B,linear down,linear,7.72600902818307E-59,-0.12,0.44,-0.2,0,0.52,1.7,2
MTG1,linear up quadratic down,linear_quadratic,1.63466134392614E-17,-0.12,0.44,-0.1,1.06,0.93,52.51,1
PRIMPOL,linear up quadratic down,linear_quadratic,4.4681576954817E-06,-0.12,0.44,-0.18,0.07,0.76,24.9,1
FAM193B,linear up quadratic down,linear_quadratic,4.38467383600895E-14,-0.12,0.44,-0.1,1.02,0.92,50.66,1
NFIX,linear up,linear,3.19033610939285E-40,-0.12,0.44,0.21,0,0.48,1.8,5
MAP7D1,linear up quadratic down,linear_quadratic,6.5633400186465E-49,-0.12,0.44,-0.05,1.56,0.97,58.31,6
AP002812.2,linear up quadratic down,linear_quadratic,0.007040932200333,-0.12,0.44,-0.14,0.6,0.88,43.99,1
CFAP70,linear up quadratic down,linear_quadratic,3.94800274169896E-24,-0.12,0.44,-0.1,1.1,0.93,53.2,1
KCNH2,linear up quadratic down,linear_quadratic,4.44101501688472E-08,-0.12,0.44,-0.14,0.54,0.87,41.72,1
RPL34-AS1,linear up quadratic down,linear_quadratic,5.5790832715417E-17,-0.12,0.44,-0.11,0.96,0.92,50.64,1
SLC29A1,linear up quadratic down,linear_quadratic,2.36290202537204E-08,-0.12,0.44,-0.13,0.7,0.89,45.98,1
NQO2,linear up quadratic down,linear_quadratic,0.00081658233131,-0.13,0.44,-0.15,0.5,0.87,40.91,1
CYREN,quadratic down,quadratic,5.5226216330233E-71,-0.13,0.44,-0.2,0,0.64,13.53,1
PDZD8,linear up quadratic down,linear_quadratic,2.44968862295297E-06,-0.13,0.44,-0.18,0.16,0.81,31.19,1
POLR2B,linear up quadratic down,linear_quadratic,3.9587012340417E-05,-0.13,0.44,-0.13,0.6,0.87,41.95,1
UGDH-AS1,linear up quadratic down,linear_quadratic,0.000617094268299,-0.13,0.44,-0.13,0.63,0.88,43.76,1
RDH13,linear up quadratic down,linear_quadratic,1.43298523007871E-31,-0.13,0.44,-0.1,1.03,0.92,51.78,1
ELMOD3,linear up quadratic down,linear_quadratic,4.30655450939503E-07,-0.13,0.44,-0.13,0.74,0.89,46.08,1
SMIM7,quadratic up,quadratic,1.78322249112618E-64,-0.14,0.43,0.2,0,0.65,14.83,5
SERF2,linear up quadratic down,linear_quadratic,3.59508039086249E-23,-0.14,0.43,-0.1,1.05,0.92,52.14,1
INTS8,linear up quadratic down,linear_quadratic,3.0993303566104E-06,-0.14,0.43,-0.18,0.12,0.79,28.29,1
USP3-AS1,linear up quadratic down,linear_quadratic,3.41819209915011E-11,-0.14,0.43,-0.17,0.28,0.83,35.2,1
PCOLCE2,linear up quadratic down,linear_quadratic,5.00842893346418E-05,-0.14,0.43,-0.17,0.22,0.82,32.98,1
KCTD1,linear up,linear,1.21937038854994E-25,-0.14,0.43,0.21,0,0.49,1.46,5
LINC02269,linear up quadratic down,linear_quadratic,7.30346623393906E-18,-0.14,0.45,-0.18,0.19,0.82,32.71,1
CCDC125,linear down quadratic up,linear_quadratic,1.50088520272976E-09,-0.14,0.43,0.17,-0.31,0.85,37.75,3
DROSHA,linear down,linear,5.06884599332607E-30,-0.15,0.43,-0.21,0,0.51,1.07,2
TIPARP,linear up,linear,5.10334877807554E-64,-0.15,0.43,0.2,0,0.5,0.2,5
NOP58,linear up quadratic down,linear_quadratic,1.80322773887754E-19,-0.15,0.43,-0.09,1.12,0.92,52.15,1
ZNF536,linear up quadratic down,linear_quadratic,0.003947354712059,-0.15,0.43,-0.14,0.63,0.89,44.61,1
PPP2R3C,linear up quadratic down,linear_quadratic,5.44949196513841E-30,-0.15,0.43,-0.08,1.21,0.94,54.35,1
VAT1L,linear down quadratic up,linear_quadratic,4.98889512145288E-23,-0.15,0.43,0.03,-1.79,0.97,59.88,4
ADAMTS15,linear up quadratic down,linear_quadratic,5.33469537744605E-10,-0.15,0.43,-0.13,0.7,0.89,46.06,1
RNF214,linear up quadratic down,linear_quadratic,1.17740088661164E-15,-0.15,0.43,-0.09,1.15,0.93,52.84,1
UBE2V2,linear up quadratic down,linear_quadratic,4.93709097743438E-08,-0.15,0.43,-0.12,0.79,0.89,45.63,1
EXOC5,linear up quadratic down,linear_quadratic,6.58056590754188E-05,-0.16,0.42,-0.18,0.12,0.79,28.77,1
SGPP1,linear up quadratic down,linear_quadratic,1.81196121923258E-07,-0.16,0.42,-0.12,0.77,0.9,46.91,1
NIPSNAP3B,linear up quadratic down,linear_quadratic,2.28983411698931E-07,-0.17,0.41,-0.13,0.74,0.9,46.79,1
PRMT7,linear down,linear,2.66261366146334E-06,-0.17,0.42,-0.19,-0.01,0.5,0,2
PPIL4,linear up quadratic down,linear_quadratic,0.016344436044816,-0.17,0.41,-0.14,0.53,0.87,41.94,1
SRP14-AS1,linear up quadratic down,linear_quadratic,5.53579679587313E-14,-0.18,0.41,-0.12,0.8,0.9,47.99,1
CDKL3,linear up quadratic down,linear_quadratic,6.19241969101128E-14,-0.18,0.41,-0.09,1.15,0.93,53.02,1
HERPUD2,quadratic down,quadratic,5.58522038291997E-08,-0.18,0.41,-0.2,0,0.65,14.29,1
RFC3,linear up quadratic down,linear_quadratic,7.75398639240481E-32,-0.18,0.41,-0.18,0.1,0.79,28.06,1
C6orf62,linear down quadratic up,linear_quadratic,7.18819204014594E-11,-0.20,0.41,0.13,-0.72,0.9,47.09,3
NDUFAB1,linear up quadratic down,linear_quadratic,3.80686230034224E-37,-0.20,0.40,-0.08,1.22,0.94,54.66,1
DANCR,linear up,linear,5.04125261252078E-17,-0.20,0.40,0.2,0,0.53,2.86,5
PDE6D,linear down quadratic up,linear_quadratic,2.08081199073353E-16,-0.20,0.40,0.11,-0.98,0.92,51.57,3
PRR12,linear down quadratic up,linear_quadratic,0.000306901366165,-0.21,0.40,0.1,-1.06,0.93,52.74,3
APOBEC2,quadratic down,quadratic,3.5412529005072E-05,-0.21,0.40,-0.2,0,0.65,14.44,1
CYCS,quadratic up,quadratic,1.36118193933015E-20,-0.23,0.39,0.2,0,0.66,15.22,5
KATNAL2,linear up quadratic down,linear_quadratic,5.04069254692785E-20,-0.23,0.39,-0.12,0.81,0.9,48.03,1
SCRN3,quadratic down,quadratic,3.73079518597056E-11,-0.24,0.38,-0.2,0,0.65,14.67,1
ARHGAP1,quadratic down,quadratic,2.04623292134585E-32,-0.24,0.38,-0.2,0,0.65,14.33,1
CLUH,quadratic up,quadratic,3.86334468944555E-46,-0.24,0.38,0.2,0,0.65,13.93,5
TOB1-AS1,linear down,linear,8.43855576211116E-05,-0.24,0.38,-0.21,0,0.5,0.34,2
SYPL1,quadratic down,quadratic,2.70170745364296E-13,-0.25,0.38,-0.2,0,0.65,14.02,1
AL050309.1,linear down,linear,2.2990503974416E-33,-0.25,0.38,-0.21,0,0.52,1.51,2
MT-ND1,linear down,linear,5.57098009961314E-44,-0.25,0.39,-0.21,0,0.5,0.35,2
SERINC3,linear down,linear,0.007700990512982,-0.25,0.38,-0.2,0,0.5,0.18,2
NPM1,quadratic down,quadratic,8.72650494531172E-19,-0.25,0.38,-0.2,0,0.65,14.21,1
PIP4K2A,quadratic down,quadratic,0.016931281291659,-0.26,0.38,-0.2,0,0.65,14.5,1
SPTBN4,linear down,linear,1.01366970777427E-19,-0.26,0.38,-0.2,0,0.5,0.28,2
DYNLT1,linear up,linear,1.06138051545996E-10,-0.26,0.37,0.2,0,0.5,0.27,5
EIF3M,linear down,linear,0.000274082371473,-0.27,0.37,-0.2,0,0.49,0.57,2
ORC5,linear down,linear,7.5997070632732E-16,-0.27,0.37,-0.2,0,0.49,0.49,2
RSPRY1,quadratic down,quadratic,0.008156273184212,-0.28,0.37,-0.2,0,0.65,14.48,1
STARD9,quadratic down,quadratic,1.12271664061273E-45,-0.28,0.37,-0.2,0,0.66,14.99,1
SNHG25,linear down,linear,9.43993325335062E-141,-0.29,0.36,-0.2,0,0.51,0.71,2
BAG3,linear down,linear,1.28997567277911E-06,-0.30,0.35,-0.21,0,0.5,0.27,2
ATP6V1C1,linear down,linear,0.017751878376454,-0.30,0.35,-0.2,0,0.5,0.31,2
SDC4,quadratic up,quadratic,2.38151111524516E-11,-0.31,0.35,0.2,0,0.64,13.74,5
ZNF490,linear down,linear,7.64812569970978E-12,-0.31,0.35,-0.2,0,0.49,0.65,2
