Gene ID,Expression pattern,Fitted function,adjusted P-value,R-squared,mod_rsquared_adj,Terminal_logFC,Transient_logFC,Switching_time,area,cluster
MYOZ2,linear up quadratic down,linear_quadratic,1.38227650337249E-59,0.06,0.55,-0.17,0.28,0.83,35.04,1
CSDC2,linear up quadratic down,linear_quadratic,3.53029968968937E-209,0.06,0.53,0.14,0.62,0.12,43.73,6
INSR,linear down quadratic up,linear_quadratic,3.13034413135374E-21,0.06,0.53,0.16,-0.42,0.87,41.28,3
PKIA,linear up quadratic down,linear_quadratic,3.73209865843785E-215,0.06,0.53,-0.19,0.02,0.73,21.89,1
LAMA4,linear down quadratic up,linear_quadratic,1.47774921601115E-136,0.06,0.53,0.03,-1.83,0.97,62.23,4
PAM,linear down,linear,1.09604000834012E-258,0.05,0.54,-0.19,-0.03,0.51,0.03,2
AC093879.1,linear up quadratic down,linear_quadratic,2.31282147341081E-30,0.05,0.53,-0.12,0.86,0.91,48.95,1
MEIS2,linear down quadratic up,linear_quadratic,2.14045330821764E-237,0.05,0.54,-0.15,-0.45,0.14,40.46,2
AL133257.1,linear up quadratic down,linear_quadratic,0.00169678195251,0.05,0.53,-0.15,0.52,0.87,41.89,1
DOCK3,linear down quadratic up,linear_quadratic,2.67891705257298E-202,0.05,0.53,-0.01,-2.02,0.03,63.29,4
CRYAB,linear up quadratic down,linear_quadratic,7.52219114961661E-15,0.05,0.53,-0.13,0.75,0.9,46.98,1
TANGO2,linear up quadratic down,linear_quadratic,4.07364244203811E-257,0.05,0.53,0.2,0,0.33,16.12,5
BZW2,linear down,linear,3.57625692916333E-245,0.05,0.53,-0.21,0,0.52,1.91,2
ERBB4,quadratic down,quadratic,1.63353961183544E-243,0.05,0.54,-0.2,0,0.64,13.24,1
MDH1,linear up quadratic down,linear_quadratic,2.58119382330006E-27,0.05,0.53,-0.12,0.83,0.91,48.72,1
CSRP3,linear up quadratic down,linear_quadratic,1.52840113958119E-67,0.05,0.53,-0.09,1.21,0.94,54.57,1
LINC02147,linear up quadratic down,linear_quadratic,3.30594742518242E-09,0.05,0.53,-0.13,0.72,0.9,46.57,1
AC090348.1,quadratic down,quadratic,2.91790734251041E-213,0.05,0.53,-0.2,0,0.65,14.51,1
KDM4B,linear up,linear,3.34307056111355E-233,0.05,0.53,0.21,0,0.5,0.27,5
ESRRG,linear down,linear,2.90057971798957E-302,0.05,0.55,-0.19,-0.02,0.53,1.81,2
PDK4,linear up quadratic down,linear_quadratic,4.65343511997088E-08,0.05,0.56,-0.15,0.39,0.85,37.39,1
ADGRL3-AS1,linear up quadratic down,linear_quadratic,4.9571549992365E-57,0.05,0.53,-0.1,1.01,0.92,51.58,1
PDZRN3,linear up quadratic down,linear_quadratic,6.87592527493773E-211,0.05,0.55,-0.18,0.01,0.71,18.42,1
AC093912.1,linear down quadratic up,linear_quadratic,9.03863158116042E-132,0.05,0.53,-0.01,-1.78,0.03,56.36,4
AC027117.2,linear down,linear,4.16541357190401E-23,-0.05,0.48,-0.2,-0.02,0.49,1.68,2
PLA2G12A,linear up quadratic down,linear_quadratic,3.52030460816738E-10,-0.05,0.48,-0.13,0.76,0.9,47,1
MAPKBP1,linear up quadratic down,linear_quadratic,8.26218552725416E-07,-0.05,0.48,-0.13,0.65,0.89,44.63,1
PTPN9,linear up,linear,1.05464767306095E-17,-0.05,0.48,0.22,0,0.48,2.46,5
CAND1,linear up quadratic down,linear_quadratic,0.037075179936192,-0.05,0.48,-0.16,0.31,0.84,36.54,1
PSMD11,linear up quadratic down,linear_quadratic,6.96378651008333E-07,-0.05,0.48,-0.13,0.63,0.88,43.71,1
E2F3,linear up,linear,5.32511749280094E-18,-0.05,0.48,0.2,0,0.46,4.05,5
TRIM73,quadratic down,quadratic,7.73555637200872E-31,-0.05,0.48,-0.2,0,0.66,15.79,1
ARL17B,linear up quadratic down,linear_quadratic,1.743759760671E-34,-0.05,0.48,-0.16,0.35,0.85,37.47,1
GRB14,linear down,linear,1.13647447044341E-71,-0.05,0.48,-0.2,0,0.5,0.35,2
DNAJC2,linear up quadratic down,linear_quadratic,1.7971855763755E-29,-0.05,0.48,-0.1,1.03,0.92,51.67,1
HNRNPLL,linear up quadratic down,linear_quadratic,0.004061592289229,-0.05,0.48,-0.16,0.36,0.85,38.02,1
GK5,linear down,linear,0.000632102168055,-0.05,0.48,-0.19,-0.01,0.49,1,2
MFSD8,linear down,linear,1.39419904508637E-21,-0.05,0.48,-0.21,0,0.53,2.8,2
DRG1,linear up quadratic down,linear_quadratic,2.41103253209971E-05,-0.05,0.48,-0.13,0.7,0.89,45.99,1
ERVK13-1,linear up quadratic down,linear_quadratic,6.84080802419269E-10,-0.05,0.48,-0.18,0.15,0.8,30.16,1
CAB39L,quadratic down,quadratic,3.30767700337046E-40,-0.05,0.48,-0.2,0,0.65,14.27,1
ABI3BP,linear up quadratic down,linear_quadratic,6.26201338506282E-31,-0.05,0.48,-0.12,0.88,0.91,49.46,1
HSP90AB1,linear up quadratic down,linear_quadratic,3.76277811925065E-80,-0.05,0.48,-0.09,1.2,0.94,54.48,1
