,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
156,FAM110B,quadratic down,-0.044449056277234444,quadratic,0.9921446506391909,-0.0021166217274873546,nan,8.937624095344654e-130,0.04427330551420694,0.5435318105095595,0.59458490227721,0.7902508534337457
157,MYH7,quadratic down,-0.03952853107314224,quadratic,0.8252718490518927,-0.0018823110034829641,nan,1.7163057913572444e-114,0.0186538154555157,0.543375841571553,0.6312533620225927,0.7114968457683342
159,LPAR1,quadratic down,-0.04658842920469617,quadratic,1.0501726545812753,-0.0022184966287950554,nan,8.865589529203117e-136,0.047194883089052175,0.5429681369172819,0.5787161556392325,0.8189463150663439
162,ZNF704,quadratic down,-0.04312880425921565,quadratic,0.9239808612826588,-0.0020537525837721737,nan,1.5969799023909448e-127,0.031993529508570595,0.542512390902371,0.6116191500806886,0.7558326983360228
171,PLCB4,quadratic down,-0.041618493902096605,quadratic,0.8563417321142096,-0.001981833042956981,nan,1.0083943300123556e-129,0.023361401190859166,0.5411659526395698,0.628294782140936,0.7192049935969158
173,AKAP6,quadratic down,-0.04378188142706979,quadratic,0.9952344745766881,-0.002084851496527133,nan,1.817483915951655e-129,0.04211714654413701,0.5408725280210884,0.5830195445580061,0.7899390429307872
179,PDE5A,quadratic down,-0.03750947319257887,quadratic,0.7148065593526868,-0.0017861653901228034,nan,2.4101446411338597e-161,0.02138105520559397,0.5402267435539447,0.6556392325623095,0.6410398619311458
184,N4BP2L2,quadratic down,-0.06206237148918754,quadratic,1.7878819642666024,-0.002955351023294645,nan,5.619301338682363e-138,0.05379580885302504,0.5389849873989649,0.3607674376905146,1.3286319637645687
188,KANK1,quadratic down,-0.04333861074565951,quadratic,1.024002594067427,-0.002063743368840929,nan,3.757205069080124e-116,0.036778218942607244,0.5386030304107674,0.5774610005379236,0.8220225642746997
196,FILIP1L,quadratic down,-0.04038966166685781,quadratic,0.9221742948773648,-0.0019233172222313244,nan,4.7900685120542374e-110,0.02971059992787306,0.5371796449575836,0.6021158328850637,0.7564360395965574
203,PDLIM5,quadratic down,-0.023813393025046158,quadratic,2.2222532680599243,-0.001133971096430769,nan,1.6559010598450479e-72,-0.008313441912497943,0.5361252679225297,0.22198314506006814,1.8422742401506187
205,ARID1B,quadratic down,-0.05579226175007416,quadratic,2.0294513435863775,-0.00265677436905115,nan,1.0877117901825629e-111,0.038327913436103755,0.5357496184717372,0.2961269499731038,1.541383035239376
206,TNFRSF19,quadratic down,-0.03347288735000886,quadratic,0.6131215251633254,-0.0015939470166670886,nan,2.371377405380473e-179,-0.0003747658089583439,0.5356939203907313,0.6675632060247445,0.6234352699775865
208,EPHA3,quadratic down,-0.04037624450089478,quadratic,1.057813471834593,-0.0019226783095664184,nan,3.278598128817742e-86,0.026560084188268718,0.5352759789147002,0.566612874305182,0.8735634927021696
214,TBC1D5,quadratic down,-0.05505135049740412,quadratic,1.7424284176048193,-0.0026214928808287676,nan,1.2500595530652335e-117,0.049412939500506736,0.5343197357679881,0.3721534875381029,1.3376994873417607
220,DLG1,quadratic down,-0.04816797909556567,quadratic,1.33728356606568,-0.002293713290265032,nan,6.7146110128487e-117,0.046279013654474066,0.5335467570379813,0.4770485924332078,1.0382487811412948
227,FBXL7,quadratic down,-0.027685476028229402,quadratic,2.1632856579853157,-0.0013183560013442577,nan,4.316985088099504e-59,-0.0051121776568308075,0.5324382329810624,0.25416890801506187,1.77152920469428
233,SVIL,quadratic down,-0.037309192440622585,quadratic,2.092708059596457,-0.0017766282114582185,nan,2.671615812633421e-63,0.012016801318005865,0.5318969285931028,0.27353415814954274,1.7009923556894389
239,PDE7A,quadratic down,-0.03908648429164339,quadratic,0.9976949728828352,-0.0018612611567449232,nan,4.2757370149445235e-86,0.02346728816618049,0.5312607563801286,0.5731576116191501,0.8209935373408644
240,NCOA1,quadratic down,-0.04978419942400053,quadratic,1.62290893220712,-0.002370676163047644,nan,4.2728795471729444e-104,0.044339685269888074,0.5312494994435181,0.38676707907477137,1.2753324082956787
246,ANKRD44,quadratic down,-0.03514740515683057,quadratic,0.7328908413429197,-0.0016736859598490746,nan,6.054053642877929e-111,0.01255764582884733,0.5308706997765886,0.6443428366505289,0.6560677648251748
247,KLF12,quadratic down,-0.04166563049239407,quadratic,1.2047486866064314,-0.0019840776424949556,nan,2.5537654730862868e-92,0.03706865616167809,0.5306432238232086,0.5087860857091626,0.9667676188291198
250,BBS9,quadratic down,-0.039023671652602225,quadratic,1.0259893119998493,-0.001858270078695344,nan,1.6676643353248992e-85,0.026128885166206706,0.5298627323000137,0.5646404877174108,0.8377501388649811
251,STK3,quadratic down,-0.04613014344429476,quadratic,1.5166215726034764,-0.002196673497347369,nan,3.4212747611029315e-102,0.043048588443992175,0.5294987618794071,0.4135736058812982,1.2081150702474446
252,RPLP1,quadratic down,-0.0335191393887657,quadratic,0.6789300409087842,-0.0015961494947031283,nan,1.7708235611564393e-107,0.0026607601546457804,0.5292910896955931,0.652142729065806,0.6360040250502061
261,IGFBP7,quadratic down,-0.011308552973084857,quadratic,2.069073299263448,-0.0005385025225278501,nan,1.214761021488851e-14,-0.020814877173407575,0.5287647414488454,0.2589205666128743,1.7948541112049488
263,COMMD10,quadratic down,-0.03599009929377002,quadratic,0.8695971439770608,-0.0017138142520842867,nan,4.524334947220585e-84,0.01664829817716129,0.5286878511891173,0.6097364174287251,0.7365119451416533
266,TBC1D4,quadratic down,-0.03343050897340639,quadratic,0.772948002136642,-0.0015919289987336373,nan,2.5947975420013993e-83,0.004055185219263957,0.5283784852061961,0.6291016675632061,0.6918505757755067
267,GBE1,quadratic down,-0.03996635422855046,quadratic,1.3356912590546468,-0.0019031597251690695,nan,1.3066363835073566e-83,0.033899906209653774,0.5283182283261757,0.46001434462972923,1.095850604958759
281,SEPTIN7,quadratic down,-0.03746478563251285,quadratic,0.9467788529837956,-0.0017840374110720404,nan,1.0484616117572603e-76,0.021862402668245906,0.5272528674229733,0.5809575040344271,0.7768646254859244
282,RB1,quadratic down,-0.03705149619245228,quadratic,0.9181585839925883,-0.0017643569615453467,nan,1.682257644083585e-78,0.02082823332941075,0.5272003910811698,0.5898332436793975,0.7551650245615922
283,CDKAL1,quadratic down,-0.039817977992270825,quadratic,1.1569420213058899,-0.0018960941901081344,nan,3.645862080794214e-82,0.03137338430101333,0.5270634490108561,0.5125515510130895,0.9322791906741976
288,WDPCP,quadratic down,-0.03363627895969712,quadratic,0.8039488247537013,-0.0016017275695093865,nan,1.110129043638852e-78,0.008307704380257519,0.5268610347884511,0.6211224672763135,0.7055563595481441
290,C1orf21,quadratic down,-0.030777320437140432,quadratic,0.7224148602890446,-0.0014655866874828778,nan,1.077177266922564e-72,-0.005641467993538152,0.5264974250842376,0.6377084454007531,0.6850068033584364
292,VTI1A,quadratic down,-0.03724162748015026,quadratic,0.9816537305008214,-0.0017734108323881077,nan,1.5650961020713118e-74,0.022455237680215512,0.5262675649609323,0.5714541868388022,0.8057897453944775
294,MKLN1,quadratic down,-0.04125861115155618,quadratic,1.3982237527114074,-0.0019646957691217227,nan,1.3152755947927017e-84,0.03506751711321521,0.5261706250513728,0.42971131432669896,1.1360911584032634
301,CAMKMT,quadratic down,-0.03214708950044678,quadratic,0.8139627052254219,-0.0015308137857355608,nan,1.373435134902031e-63,0.0021776151358797735,0.5259475071847368,0.6169983862291555,0.7293689003514435
306,BMPR1A,quadratic down,-0.03457697775979092,quadratic,0.8820861009022862,-0.0016465227504662344,nan,1.7908762521749243e-63,0.012754239228282338,0.5256743701086564,0.5936883629191322,0.7453280735225031
311,LINC01473,quadratic down,-0.030888042536659444,quadratic,0.7701286206099057,-0.0014708591684123545,nan,3.5449101813189876e-62,-0.0003022058949682105,0.5253020017822602,0.6277568585260893,0.7058081914918415
319,SESTD1,quadratic down,-0.03217081445230902,quadratic,0.7626673726951189,-0.0015319435453480486,nan,1.516893009022517e-72,0.004162695708817221,0.5247495924421042,0.6301775147928994,0.6855762430688542
323,JAZF1,quadratic down,-0.032499406868364104,quadratic,0.8337412957620715,-0.0015475908032554335,nan,5.9339070872289235e-64,0.006098521549117275,0.5240427329837329,0.6109915725300341,0.7305830427469966
324,BRAF,quadratic down,-0.03529524412571211,quadratic,0.9969521744715638,-0.0016807259107481955,nan,2.1690017185558634e-66,0.017789914149118013,0.5239768837519877,0.5571992110453649,0.8289729167948717
325,PSD3,quadratic down,-0.036306291922944676,quadratic,1.9790058873272791,-0.0017288710439497472,nan,3.86742892778085e-54,0.010696695120144595,0.523968672292745,0.2870719024565178,1.6083644756894389
326,PHF21A,quadratic down,-0.035721510538537504,quadratic,1.1053758375110523,-0.0017010243113589289,nan,4.177934336325661e-64,0.022317093909657415,0.5239089705616908,0.5206204052357899,0.9170335308983325
332,CENPP,quadratic down,-0.017695715674377974,quadratic,0.9272247691853759,-0.000842653127351332,nan,1.9827478157732712e-14,-0.003337220065771529,0.5236153210686003,0.5648197955890264,0.9038643792487
337,COG5,quadratic down,-0.035907203437819876,quadratic,1.0766782483828214,-0.001709866830372375,nan,2.098122172118418e-68,0.021814034088423417,0.5233824383424837,0.5294961448807602,0.8875002333019545
344,DYM,quadratic down,-0.03457008943657897,quadratic,0.9595310002526378,-0.0016461947350751892,nan,1.8875948128327622e-61,0.01578498685720575,0.5228420082972116,0.5676887215348754,0.8015779042980097
345,EXOC4,quadratic down,-0.041195002821714385,quadratic,1.5750862781872468,-0.0019616668010340186,nan,6.306914544025496e-75,0.031897797496914126,0.5227386619420045,0.3802223417608033,1.2876115195732474
348,ARL15,quadratic down,-0.03567656737582827,quadratic,1.6116953764458637,-0.0016988841607537273,nan,6.079567018333016e-55,0.02201431884773386,0.5224351138561317,0.370898332436794,1.376153049659315
350,RALGAPA1,quadratic down,-0.03465515512251673,quadratic,1.0908618557235694,-0.0016502454820246065,nan,1.392479732769182e-59,0.018773652813629638,0.5223259763893877,0.5213376367222521,0.9094438140989778
357,ANKH,quadratic down,-0.02103454544837961,quadratic,0.7543152587949339,-0.0010016450213514098,nan,1.5318621688924115e-16,-0.017477322685114594,0.5219788833445154,0.6109915725300341,0.7554240333180922
361,NR3C1,quadratic down,-0.03172099661809891,quadratic,0.7823773933956638,-0.0015105236484809004,nan,8.252478357176096e-58,0.0031481460386197924,0.5218369277285417,0.6217500448269679,0.6911961448296575
362,TACC1,quadratic down,-0.016583848702255117,quadratic,0.7617232455423844,-0.0007897070810597675,nan,0.00012855431796123426,-0.019112245871848454,0.5217778938409827,0.5968262506724045,0.7794422706840596
369,INVS,quadratic down,-0.02895383097941439,quadratic,0.7577849613651156,-0.0013787538561625902,nan,2.421621640746603e-45,-0.008623602219953508,0.5213178165441433,0.6230948538640846,0.7046545078931324
372,RASA1,quadratic down,-0.03213080088809156,quadratic,0.8120904617917757,-0.0015300381375281697,nan,2.77472915875166e-57,0.004426377337899412,0.5212134404481651,0.6107226107226107,0.704727673326161
374,EPC1,quadratic down,-0.030644425145775957,quadratic,0.8565847754064247,-0.0014592583402750455,nan,9.957427414299831e-47,0.005819077932253225,0.5211591038335456,0.5944055944055944,0.7446913905675095
381,FAF1,quadratic down,-0.033652440719354644,quadratic,1.2357822858194094,-0.0016024971771121258,nan,7.202491172569145e-61,0.0219761710094849,0.5207301297182974,0.4689797382105074,1.0389818214120494
384,SASH1,quadratic down,-0.0298573767797169,quadratic,1.6487901464096464,-0.0014217798466531855,nan,3.009109499481595e-34,0.01456884790811408,0.5206974853437052,0.35825712748789673,1.4556885983351266
388,USP47,quadratic down,-0.03255373802325767,quadratic,0.9689648233617394,-0.0015501780011075081,nan,7.969735421502342e-55,0.013033661549073483,0.520536567935877,0.5568405953021338,0.8174960716433567
390,TGFBR2,quadratic down,-0.025357620481205673,quadratic,0.9566128699817331,-0.0012075057372002702,nan,2.149256810272793e-31,0.003913206315354856,0.5204697741884319,0.5537027075488614,0.8644168395185584
391,DDR2,quadratic down,-0.027625352306097143,quadratic,0.7611242620045384,-0.0013154929669570068,nan,5.580960428182516e-40,-0.006597000400050845,0.5204380622184248,0.6177156177156177,0.7046690575165858
392,ARHGAP24,quadratic down,-0.032054582945740796,quadratic,1.577470399648336,-0.001526408711701943,nan,2.4620582889501603e-48,0.01945909704012061,0.5204311582325345,0.3723327954097185,1.3709455320889368
395,EHBP1,quadratic down,-0.02567598990844269,quadratic,1.008925536929262,-0.0012226661861163186,nan,9.037137931443689e-30,0.005319657055306237,0.5202338475351636,0.5412408104715797,0.9080196865384615
396,BBX,quadratic down,-0.02931930237962616,quadratic,0.744086449936885,-0.0013961572561726743,nan,6.170220292745517e-50,-0.00803219651643694,0.5202168372653257,0.6264120494889726,0.6843920742316657
398,DENND4C,quadratic down,-0.028606440472503457,quadratic,0.8364779201857855,-0.0013622114510715934,nan,7.945432762266514e-41,0.001128186318939517,0.5200969139159779,0.5961090191859423,0.7457515321113501
401,AOPEP,quadratic down,-0.03300183888428884,quadratic,1.4064655282193808,-0.0015715161373470875,nan,4.45012432720373e-58,0.0232177240975312,0.5200559795059154,0.41455979917518376,1.2013864553469609
409,SOS1,quadratic down,-0.028120954474187686,quadratic,0.7617898663818425,-0.0013390930701994135,nan,5.865539097842622e-44,-0.007162765899742629,0.5195958396975683,0.61843284920208,0.7001678592872512
410,SETBP1,quadratic down,-0.016861152948907214,quadratic,0.8696042257909661,-0.0008029120451860577,nan,7.085042332934263e-10,-0.0067317968594213795,0.5195504436393967,0.5703783396091089,0.8515850678814775
411,ARID2,quadratic down,-0.02948155173841947,quadratic,0.8087646175210564,-0.001403883416115213,nan,2.5559769603873675e-45,0.00032936005314188055,0.5195391479347036,0.6064192218038372,0.7201292138318093
415,CADPS2,quadratic down,-0.027612527443279064,quadratic,0.8241210044925642,-0.0013148822592037649,nan,6.724451705557627e-38,-0.0023063891495127553,0.5193799880782197,0.6004124081047157,0.748298079544558
422,USO1,quadratic down,-0.0297036062239663,quadratic,0.8124662290471314,-0.0014144574392364905,nan,9.433357970916989e-43,0.0009044942098228592,0.5191132195736478,0.6050744127667205,0.7164120927469966
441,ARHGAP10,quadratic down,-0.027963294182006604,quadratic,1.4545380488479576,-0.00133158543723841,nan,1.7853439279124744e-34,0.014323063187345775,0.5181114163706715,0.3850636542944235,1.2872609054079254
443,DYRK1A,quadratic down,-0.027889577033032888,quadratic,0.8584137417709504,-0.00132807509681109,nan,2.3718537915619188e-36,0.0020696327021529903,0.5179222562092465,0.5871436256051641,0.7589473894710417
447,CFLAR,quadratic down,-0.02522507817448232,quadratic,0.9292797680451771,-0.0012011941987848723,nan,1.1889564693997794e-26,0.0027487257782510266,0.5177306136399735,0.554688900842747,0.8347852363752912
449,DNAJC1,quadratic down,-0.02578997295219043,quadratic,0.8550568223959856,-0.001228093950104306,nan,4.421166448394179e-28,-0.0016411176413497763,0.5176767416791643,0.5866953559261252,0.7766086281217501
