,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
26,NEAT1,quadratic up,0.05668995781813363,quadratic,4.20087625346863,0.003149442101007422,nan,0.0,0.1623983897425313,0.5840306093128717,5.349309939017867e-05,4.371402260785815
130,LDB3,quadratic up,0.033288687902480324,quadratic,3.115915307700908,0.001849371550137796,nan,4.163564238506775e-253,0.06347483348047467,0.5426278750710176,0.0007489033914625013,3.197915308253985
170,GPC5,quadratic up,0.055264952081266465,quadratic,0.17520786224903293,0.003070275115625915,nan,3.0657512033259215e-255,-0.034447003774524365,0.5365386822450511,0.6102492778431582,0.6027491351460361
325,NFIC,quadratic up,0.044417414395728,quadratic,0.8225434542168538,0.0024676341330959997,nan,7.253921826983891e-182,0.04384452641671488,0.5227843662392329,0.18321386541136195,0.9245895017839948
332,TOGARAM2,quadratic up,0.05642514589359489,quadratic,0.9848534065333688,0.003134730327421938,nan,7.415308905633229e-172,0.03961689968112403,0.5220842706555833,0.18658393067294318,1.1024740215780462
406,CUX1,quadratic up,0.028768214920065385,quadratic,1.6851833875504756,0.001598234162225854,nan,1.5150545160417291e-94,0.020458303112855014,0.5183095283325554,0.024285867123141115,1.732569041999572
482,GPI,quadratic up,0.03547202030240111,quadratic,1.0904011509043652,0.0019706677945778395,nan,1.262001010744275e-125,0.028356415889218112,0.5151655259793879,0.11265646731571627,1.156682735247138
541,SMAD3,quadratic up,0.02673213077215047,quadratic,0.33519064916702873,0.001485118376230582,nan,4.229642277592839e-148,0.021080438959129477,0.5126247526716792,0.4542099069220071,0.470661858241147
543,NCOR2,quadratic up,0.024305621622805317,quadratic,0.39740265515279416,0.001350312312378073,nan,1.8705773578614386e-115,0.022817419138445594,0.5125207089340579,0.39354873221354447,0.5092678373007382
546,CALD1,quadratic up,0.012734862879258957,quadratic,1.9571767377593625,0.0007074923821810524,nan,1.1860431326564633e-15,-0.002325401580738795,0.5124499116970502,0.02129025355729111,1.9494435934588639
620,MFN2,quadratic up,0.02115022896386775,quadratic,0.361071690721198,0.0011750127202148747,nan,1.9944991401405792e-122,0.018634803005115663,0.5107006812896164,0.4277843158232588,0.4706390931683962
644,PTP4A3,quadratic up,0.025383719872642683,quadratic,0.3717362079022997,0.0014102066595912603,nan,6.0121876256156425e-108,0.016574639277503245,0.5100109167211591,0.42045576120680433,0.49643693535626404
689,ZMIZ1,quadratic up,0.02727042498923772,quadratic,0.5584202696957785,0.0015150236105132067,nan,1.8727006274901983e-74,0.01640052116991808,0.5091697527199707,0.29902642559109877,0.6618477978902322
728,TCF25,quadratic up,0.021178050059365166,quadratic,0.4241404685698087,0.001176558336631398,nan,2.984625411349994e-84,0.014617033748392405,0.5085053705740201,0.37974751257087835,0.5259920535802932
744,PER1,quadratic up,0.01886900825225861,quadratic,0.37949383961891087,0.0010482782362365895,nan,3.5631961476782905e-104,0.013599245205428434,0.508223866115515,0.4288541778110624,0.48617014194340424
762,GNB1,quadratic up,0.017939688499699524,quadratic,0.41811570766673156,0.0009966493610944177,nan,5.09344710476227e-74,0.011645388232955911,0.5079178933970416,0.39681181127634535,0.5190225384936343
764,YWHAE,quadratic up,0.0202082173994641,quadratic,0.4627269404887376,0.0011226787444146723,nan,8.679840936740695e-77,0.01342500831895499,0.5078920713390465,0.35711993152883276,0.5564877201931101
803,MSI2,quadratic up,0.02278803345492722,quadratic,1.5961779290092388,0.001266001858607068,nan,2.6853809671235326e-28,0.0001679529878622077,0.5072789982255885,0.040440783138975075,1.6203486655846795
830,ATP1A3,quadratic up,0.017220519080455972,quadratic,0.3934232583118963,0.0009566955044697762,nan,2.6952577328205483e-87,0.009918670881594593,0.5066324936786654,0.4210976783994865,0.49707240606290787
852,TNRC18,quadratic up,0.016837895841237904,quadratic,0.2958154862848788,0.0009354386578465505,nan,7.229281227549469e-105,0.007349800519753313,0.5063847907741474,0.4917085695945223,0.40865414731518135
853,USP54,quadratic up,0.020138266098591952,quadratic,0.4410451021093024,0.001118792561032886,nan,9.991617991042245e-74,0.010572213067964853,0.506355979697436,0.39151599443671764,0.5438329383818338
