,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
621,AL390957.1,quadratic down,-0.029046713544635172,quadratic,0.5546882702187904,-0.0016137063080352873,nan,5.1516745423976856e-101,0.007594586473011478,0.5106993976011948,0.4417995078634856,0.5566678271611213
649,AC087457.1,quadratic down,-0.028904017885545346,quadratic,0.3900089798136474,-0.0016057787714191859,nan,1.2549208462988347e-179,0.010927825931622448,0.5098638732922571,0.5525302236011554,0.4069312894763025
661,SIPA1L2,quadratic down,-0.039735022368098935,quadratic,0.9658103017940582,-0.0022075012426721633,nan,6.026104825606227e-80,0.017584747321144123,0.5097044558453772,0.22691772761313792,0.83762933403017
675,RAB28,quadratic down,-0.03425119539186107,quadratic,1.0362235253177592,-0.0019028441884367262,nan,2.9045474741751825e-96,0.018360167326679888,0.5093840081457426,0.19278913020220392,0.8958519341778111
704,EYA1,quadratic down,-0.025932583715552834,quadratic,0.6803068251733927,-0.0014406990953084908,nan,8.02969513588682e-83,0.015984794441421868,0.5089394994305537,0.3337434470953247,0.6462463798828502
710,FILIP1L,quadratic down,-0.02126093541302651,quadratic,1.7356896178120813,-0.001181163078501473,nan,4.801454263009277e-51,0.002103810417157459,0.5088177103701117,0.11094468813523055,1.5943497328431582
724,GLCCI1,quadratic down,-0.026741504550194924,quadratic,0.5256731436686924,-0.0014856391416774959,nan,1.6703820820855868e-95,0.014839968965653982,0.5086012359645025,0.432331229271424,0.5017052681919333
734,GCOM1,quadratic down,-0.02841025860851789,quadratic,0.6804198344090749,-0.0015783477004732162,nan,1.0225288944074045e-80,0.01561867420839913,0.5084012895209769,0.32363325131058096,0.6238664841510646
747,MAP4K3,quadratic down,-0.017380733428167414,quadratic,1.6604130571497466,-0.000965596301564856,nan,5.048943698182804e-72,0.007150711149895184,0.5081873030094626,0.04611105167433401,1.5555752725516208
755,ACTC1,quadratic down,-0.032065908897849146,quadratic,1.1461311493044186,-0.0017814393832138416,nan,5.60778251741731e-33,0.006160427195135876,0.5080362655342989,0.1995827538247566,1.0676645692238151
756,EGF,quadratic down,-0.03165685894312084,quadratic,0.6707223202610647,-0.0017587143857289355,nan,2.3603750832611534e-76,0.011525446108113013,0.5080342173166472,0.35091473199957207,0.6241663232737776
784,MRAS,quadratic down,-0.0356117865087985,quadratic,0.9256378769717478,-0.001978432583822139,nan,1.365321353734437e-64,0.012609908580735185,0.5075734783582186,0.2229592382582647,0.8095596764528726
793,CHPT1,quadratic down,-0.01453664848520854,quadratic,1.6618851208348362,-0.0008075915825115858,nan,3.6419708557262094e-42,0.005578371819315753,0.5074304523515061,0.060393709211511715,1.5714518234759816
813,XRRA1,quadratic down,-0.02396247281176212,quadratic,0.47378773892428117,-0.0013312484895423402,nan,2.252291979073955e-95,0.012826058336356638,0.5070343489068422,0.4408366320744624,0.45143651140793845
821,NCEH1,quadratic down,-0.027736357273493842,quadratic,1.0972125403648796,-0.0015409087374163247,nan,9.542348550350316e-69,0.012494175013540332,0.5067579090646562,0.18139510003209586,0.979499234007168
826,RICTOR,quadratic down,-0.020367584522621343,quadratic,1.3626116589229469,-0.0011315324734789633,nan,3.414091493476603e-75,0.013063174526816157,0.506707214937359,0.0965550443992725,1.2548072164983415
847,RUNX1T1,quadratic down,-0.02522324262821926,quadratic,1.221177715582294,-0.0014012912571232925,nan,2.1819147839038432e-73,0.012216750235165552,0.5064339141435092,0.13453514496629934,1.102779508031454
858,TMEM38B,quadratic down,-0.028274463149715122,quadratic,0.7648797377448192,-0.0015708035083175067,nan,2.647439833269333e-60,0.011940176395806246,0.5062515053836244,0.28789986091794156,0.68954780786723
859,KIAA1958,quadratic down,-0.023002096879205274,quadratic,0.6083433040734721,-0.0012778942710669596,nan,6.374329375076261e-69,0.010915429880941852,0.5062403859479243,0.3627902000641917,0.5814201209190114
861,LRCH1,quadratic down,-0.024096919247082446,quadratic,0.6713549735476143,-0.001338717735949025,nan,6.926842368665204e-53,0.010124212407908728,0.5062305390199655,0.3234727720124104,0.6337923007002246
894,PJA2,quadratic down,-0.021926064858482874,quadratic,0.5794131388572105,-0.0012181147143601597,nan,2.5740436217305785e-64,0.010317144135120304,0.5057614175618975,0.3662137584251631,0.5530362934813309
