,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance,sampleID,Time_score
97,60.04,4380.81,0.67,VALIGA_mhnhhiaij6,591
98,14.42,225.49,25.06,VALIGA_mhnhhiaij6,591
99,26.85,719.9,11.93,VALIGA_mhnhhiaij6,591
100,23.6,963.01,16.29,VALIGA_mhnhhiaij6,591
101,12.81,396.51,32.42,VALIGA_mhnhhiaij6,591
102,17.51,300.99,26.4,VALIGA_mhnhhiaij6,591
103,62.7,6437.84,1.39,VALIGA_mhnhhiaij6,591
104,20.12,1330.19,30.35,VALIGA_mhnhhiaij6,591
105,15.08,382.52,4.68,VALIGA_mhnhhiaij6,591
106,12.21,182.62,5.82,VALIGA_mhnhhiaij6,591
107,26.98,2659.58,32.74,VALIGA_mhnhhiaij6,591
108,70.88,7872.18,2.72,VALIGA_mhnhhiaij6,591
109,59.63,5381.69,0.48,VALIGA_mhnhhiaij6,591
110,40.31,4131.11,10.11,VALIGA_mhnhhiaij6,591
111,50.38,9480.73,1.69,VALIGA_mhnhhiaij6,591
112,11.45,255.17,0.34,VALIGA_mhnhhiaij6,591
113,56.01,3572.56,0.67,VALIGA_mhnhhiaij6,591
114,13.76,197.86,0.34,VALIGA_mhnhhiaij6,591
115,73.24,5177.13,2.38,VALIGA_mhnhhiaij6,591
116,61.92,4130.08,3.58,VALIGA_mhnhhiaij6,591
117,14.84,396.62,3.58,VALIGA_mhnhhiaij6,591
118,10.21,234.24,11.63,VALIGA_mhnhhiaij6,591
119,62.17,6531.65,1.69,VALIGA_mhnhhiaij6,591
120,13.84,350.91,8.15,VALIGA_mhnhhiaij6,591
121,25.95,822.92,2.26,VALIGA_mhnhhiaij6,591
122,26.06,635.53,2.26,VALIGA_mhnhhiaij6,591
123,11.52,388.78,21.7,VALIGA_mhnhhiaij6,591
124,78.91,8176.25,1.69,VALIGA_mhnhhiaij6,591
125,43.25,2023.37,2.13,VALIGA_mhnhhiaij6,591
126,78.13,14227.92,1.35,VALIGA_mhnhhiaij6,591
127,18.16,419.93,28.3,VALIGA_mhnhhiaij6,591
